,bootstrap,model,test_average_precision,test_roc_auc,train_average_precision,train_roc_auc,validation_average_precision,validation_roc_auc,distribution,seed
0,0,Logistic Regression,0.7321428571428572,0.6,0.4950922028086843,0.49133749133749133,0.4794174079888366,0.48214285714285715,beta,20
1,1,Logistic Regression,1.0,1.0,0.6010164382116576,0.6270270270270271,0.6646791480124814,0.42592592592592593,beta,20
2,2,Logistic Regression,0.95,0.9500000000000001,0.5803233794385932,0.5512465373961218,0.7704326923076923,0.6428571428571428,beta,20
3,3,Logistic Regression,0.885,0.8,0.5939035255774853,0.5491689750692521,0.47372627372627374,0.39285714285714285,beta,20
4,4,Logistic Regression,0.9166666666666666,0.875,0.6195202160682506,0.5910931174089069,0.4644688644688645,0.3928571428571428,beta,20
5,5,Logistic Regression,0.8928571428571428,0.8125,0.5566404058606259,0.5337465564738292,0.13333333333333333,0.2692307692307692,beta,20
6,6,Logistic Regression,0.6791666666666667,0.75,0.5380108549379619,0.49864864864864866,0.4416666666666667,0.5555555555555556,beta,20
7,7,Logistic Regression,0.7708333333333333,0.75,0.4968673629819931,0.5128726287262872,0.7553671328671328,0.48,beta,20
8,8,Logistic Regression,1.0,1.0,0.48824149574517306,0.5128919860627177,0.6585565949202312,0.36363636363636365,beta,20
9,9,Logistic Regression,1.0,1.0,0.5974086273210095,0.6491228070175439,0.5280303030303031,0.4107142857142857,beta,20
10,10,Logistic Regression,0.9166666666666666,0.875,0.5099137639251272,0.5527027027027027,0.5858465608465608,0.48148148148148145,beta,20
11,11,Logistic Regression,1.0,1.0,0.6022917592252569,0.5310810810810811,0.7007575757575757,0.6666666666666667,beta,20
12,12,Logistic Regression,0.95,0.9375,0.5475040981133668,0.5391363022941971,0.6463609307359307,0.5714285714285715,beta,20
13,13,Logistic Regression,0.9166666666666666,0.875,0.5158132491164613,0.5365853658536586,0.5978732378732379,0.21999999999999997,beta,20
14,14,Logistic Regression,0.7928571428571428,0.75,0.48553018154142574,0.5229166666666667,0.7054670329670328,0.38,beta,20
15,15,Logistic Regression,0.8875,0.9,0.5011296552860119,0.5204435204435205,0.5141500474833807,0.2962962962962963,beta,20
