,bootstrap,feature,importance,model,distribution,seed
0,0,biomarker,1.0178429680151029,Logistic Regression,beta,258
1,0,Intercept,-0.7500610265410667,Logistic Regression,beta,258
0,1,biomarker,0.6566665089415863,Logistic Regression,beta,258
1,1,Intercept,-0.5932202465711043,Logistic Regression,beta,258
0,2,biomarker,-1.136128291370996,Logistic Regression,beta,258
1,2,Intercept,0.9051531176182649,Logistic Regression,beta,258
0,3,biomarker,1.4748894445044967,Logistic Regression,beta,258
1,3,Intercept,-1.1689462529580241,Logistic Regression,beta,258
0,4,biomarker,-0.5494000275033112,Logistic Regression,beta,258
1,4,Intercept,0.45982074260414646,Logistic Regression,beta,258
0,5,biomarker,-0.16061417620129095,Logistic Regression,beta,258
1,5,Intercept,0.38790448960424834,Logistic Regression,beta,258
0,6,biomarker,0.47851952258868574,Logistic Regression,beta,258
1,6,Intercept,-0.3099835679670856,Logistic Regression,beta,258
0,7,biomarker,-0.07635656937768952,Logistic Regression,beta,258
1,7,Intercept,-0.060236643057663755,Logistic Regression,beta,258
0,8,biomarker,0.5082483207595078,Logistic Regression,beta,258
1,8,Intercept,-0.5737353275568842,Logistic Regression,beta,258
0,9,biomarker,-0.3502860151573105,Logistic Regression,beta,258
1,9,Intercept,0.30208348389763706,Logistic Regression,beta,258
0,10,biomarker,-0.2031446119740577,Logistic Regression,beta,258
1,10,Intercept,0.08855115296092164,Logistic Regression,beta,258
0,11,biomarker,-0.11388859385779863,Logistic Regression,beta,258
1,11,Intercept,0.15295750082036866,Logistic Regression,beta,258
0,12,biomarker,1.344662470059865,Logistic Regression,beta,258
1,12,Intercept,-1.095656272492682,Logistic Regression,beta,258
0,13,biomarker,0.91229607850342,Logistic Regression,beta,258
1,13,Intercept,-0.847681332956794,Logistic Regression,beta,258
0,14,biomarker,0.5335181152474935,Logistic Regression,beta,258
1,14,Intercept,-0.5433133026165923,Logistic Regression,beta,258
0,15,biomarker,1.3194051356703376,Logistic Regression,beta,258
1,15,Intercept,-1.0386855520352967,Logistic Regression,beta,258
0,16,biomarker,-0.6638085462952384,Logistic Regression,beta,258
1,16,Intercept,0.5587858899937698,Logistic Regression,beta,258
0,17,biomarker,0.367230373134163,Logistic Regression,beta,258
1,17,Intercept,-0.27341884851836273,Logistic Regression,beta,258
0,18,biomarker,-0.7558437142931453,Logistic Regression,beta,258
1,18,Intercept,0.5876923869585083,Logistic Regression,beta,258
0,19,biomarker,1.7412683432795704,Logistic Regression,beta,258
1,19,Intercept,-1.478740479928247,Logistic Regression,beta,258
0,20,biomarker,0.6092161383722515,Logistic Regression,beta,258
1,20,Intercept,-0.5136836613547366,Logistic Regression,beta,258
0,21,biomarker,0.7777398960274912,Logistic Regression,beta,258
1,21,Intercept,-0.7020291919035032,Logistic Regression,beta,258
0,22,biomarker,0.2981320838284984,Logistic Regression,beta,258
1,22,Intercept,-0.2653415259678035,Logistic Regression,beta,258
0,23,biomarker,0.36959384486140034,Logistic Regression,beta,258
1,23,Intercept,-0.08111908119913884,Logistic Regression,beta,258
0,24,biomarker,-0.626474933696474,Logistic Regression,beta,258
1,24,Intercept,0.44042699572212324,Logistic Regression,beta,258
0,25,biomarker,-0.6558161324272995,Logistic Regression,beta,258
1,25,Intercept,0.6868616142928056,Logistic Regression,beta,258
0,26,biomarker,1.869789067577905,Logistic Regression,beta,258
1,26,Intercept,-1.5295335912104302,Logistic Regression,beta,258
0,27,biomarker,-0.9321988997852146,Logistic Regression,beta,258
1,27,Intercept,0.7652353145579323,Logistic Regression,beta,258
0,28,biomarker,1.0696670833341,Logistic Regression,beta,258
1,28,Intercept,-0.8917558426718306,Logistic Regression,beta,258
0,29,biomarker,-0.2808922579086096,Logistic Regression,beta,258
1,29,Intercept,0.295995081529893,Logistic Regression,beta,258
0,30,biomarker,-0.3188339655167798,Logistic Regression,beta,258
1,30,Intercept,0.18788386284079328,Logistic Regression,beta,258
0,31,biomarker,0.40798192355769286,Logistic Regression,beta,258
1,31,Intercept,-0.4450159015683175,Logistic Regression,beta,258
0,32,biomarker,-0.3813698918747663,Logistic Regression,beta,258
1,32,Intercept,0.24087479812692256,Logistic Regression,beta,258
0,33,biomarker,-0.46982139719237226,Logistic Regression,beta,258
