,model,metric,performance_bootstrap,value,distribution,seed
0,Logistic Regression,roc_auc,0,0.44403232351606464,beta,367
1,Logistic Regression,roc_auc,1,0.4205818404205578,beta,367
2,Logistic Regression,roc_auc,2,0.4412733826287959,beta,367
3,Logistic Regression,roc_auc,3,0.46066890084244083,beta,367
4,Logistic Regression,roc_auc,4,0.4527884822284385,beta,367
5,Logistic Regression,roc_auc,5,0.4524099810163519,beta,367
6,Logistic Regression,roc_auc,6,0.43863762456522204,beta,367
7,Logistic Regression,roc_auc,7,0.42634201744649364,beta,367
8,Logistic Regression,roc_auc,8,0.43462237443896745,beta,367
9,Logistic Regression,roc_auc,9,0.4368415038687794,beta,367
10,Logistic Regression,roc_auc,10,0.4378150321890752,beta,367
11,Logistic Regression,roc_auc,11,0.4434829055552665,beta,367
12,Logistic Regression,roc_auc,12,0.43366789104146264,beta,367
13,Logistic Regression,roc_auc,13,0.4439790175220333,beta,367
14,Logistic Regression,roc_auc,14,0.4449783589043239,beta,367
15,Logistic Regression,roc_auc,15,0.43960731672505454,beta,367
16,Logistic Regression,roc_auc,16,0.442282681625352,beta,367
17,Logistic Regression,roc_auc,17,0.43262010216310054,beta,367
18,Logistic Regression,roc_auc,18,0.444237157088494,beta,367
19,Logistic Regression,roc_auc,19,0.43666716601038635,beta,367
20,Logistic Regression,roc_auc,20,0.45389789438502676,beta,367
21,Logistic Regression,roc_auc,21,0.432947650859952,beta,367
22,Logistic Regression,roc_auc,22,0.4503387952090141,beta,367
23,Logistic Regression,roc_auc,23,0.43576945347645984,beta,367
24,Logistic Regression,roc_auc,24,0.463780100496784,beta,367
25,Logistic Regression,roc_auc,25,0.4378047066275693,beta,367
26,Logistic Regression,roc_auc,26,0.43818770284120023,beta,367
27,Logistic Regression,roc_auc,27,0.43519001702655147,beta,367
28,Logistic Regression,roc_auc,28,0.4366320494304964,beta,367
29,Logistic Regression,roc_auc,29,0.4480919151962309,beta,367
30,Logistic Regression,roc_auc,30,0.44180128470018254,beta,367
31,Logistic Regression,roc_auc,31,0.42212058060489455,beta,367
32,Logistic Regression,roc_auc,32,0.4438533046806509,beta,367
33,Logistic Regression,roc_auc,33,0.45031581745577687,beta,367
34,Logistic Regression,roc_auc,34,0.45000064519028443,beta,367
35,Logistic Regression,roc_auc,35,0.43820836481621406,beta,367
36,Logistic Regression,roc_auc,36,0.4428190572140953,beta,367
37,Logistic Regression,roc_auc,37,0.44816253799564393,beta,367
38,Logistic Regression,roc_auc,38,0.4124091987353717,beta,367
39,Logistic Regression,roc_auc,39,0.4361451247165533,beta,367
40,Logistic Regression,roc_auc,40,0.45286304462698757,beta,367
41,Logistic Regression,roc_auc,41,0.42926914456506093,beta,367
42,Logistic Regression,roc_auc,42,0.44076048720380245,beta,367
43,Logistic Regression,roc_auc,43,0.43351854847741955,beta,367
44,Logistic Regression,roc_auc,44,0.4468260137208272,beta,367
45,Logistic Regression,roc_auc,45,0.43619587426788947,beta,367
46,Logistic Regression,roc_auc,46,0.44338817403922065,beta,367
47,Logistic Regression,roc_auc,47,0.44920614247785606,beta,367
48,Logistic Regression,roc_auc,48,0.44861672229835814,beta,367
49,Logistic Regression,roc_auc,49,0.43854047353106484,beta,367
50,Logistic Regression,average_precision,0,0.47941849568461115,beta,367
51,Logistic Regression,average_precision,1,0.4480493825856077,beta,367
52,Logistic Regression,average_precision,2,0.4676024928239642,beta,367
53,Logistic Regression,average_precision,3,0.49024020601804197,beta,367
54,Logistic Regression,average_precision,4,0.47862644322757014,beta,367
55,Logistic Regression,average_precision,5,0.4757921010936931,beta,367
56,Logistic Regression,average_precision,6,0.474791395972913,beta,367
57,Logistic Regression,average_precision,7,0.46468082611673445,beta,367
58,Logistic Regression,average_precision,8,0.46478519607722135,beta,367
59,Logistic Regression,average_precision,9,0.47711304834023227,beta,367
60,Logistic Regression,average_precision,10,0.47117446771032506,beta,367
61,Logistic Regression,average_precision,11,0.484881107952331,beta,367
62,Logistic Regression,average_precision,12,0.4650393671348579,beta,367
63,Logistic Regression,average_precision,13,0.494328970696008,beta,367
64,Logistic Regression,average_precision,14,0.45715151452818026,beta,367
65,Logistic Regression,average_precision,15,0.47866366727837045,beta,367
66,Logistic Regression,average_precision,16,0.48652138988677984,beta,367
67,Logistic Regression,average_precision,17,0.4867087217974952,beta,367
68,Logistic Regression,average_precision,18,0.4804984533526151,beta,367
69,Logistic Regression,average_precision,19,0.4897708022772562,beta,367
70,Logistic Regression,average_precision,20,0.4680489105541742,beta,367
71,Logistic Regression,average_precision,21,0.4624699442970098,beta,367
72,Logistic Regression,average_precision,22,0.4876694574739001,beta,367
73,Logistic Regression,average_precision,23,0.4840522887181522,beta,367
74,Logistic Regression,average_precision,24,0.5060759385676483,beta,367
75,Logistic Regression,average_precision,25,0.47720861403966813,beta,367
76,Logistic Regression,average_precision,26,0.45549595317968583,beta,367
77,Logistic Regression,average_precision,27,0.48372788654073806,beta,367
78,Logistic Regression,average_precision,28,0.4752901387524131,beta,367
79,Logistic Regression,average_precision,29,0.47527247899914393,beta,367
80,Logistic Regression,average_precision,30,0.4690547915551325,beta,367
81,Logistic Regression,average_precision,31,0.4682116541340319,beta,367
82,Logistic Regression,average_precision,32,0.48255390635477635,beta,367
83,Logistic Regression,average_precision,33,0.47690453773521424,beta,367
84,Logistic Regression,average_precision,34,0.4913553647708895,beta,367
85,Logistic Regression,average_precision,35,0.46229686967038425,beta,367
86,Logistic Regression,average_precision,36,0.4834328562644236,beta,367
87,Logistic Regression,average_precision,37,0.47488201563008076,beta,367
88,Logistic Regression,average_precision,38,0.44625594831051585,beta,367
89,Logistic Regression,average_precision,39,0.467989109325074,beta,367
90,Logistic Regression,average_precision,40,0.4860394566524692,beta,367
