,bootstrap,model,test_average_precision,test_roc_auc,train_average_precision,train_roc_auc,validation_average_precision,validation_roc_auc,distribution,seed
0,0,Logistic Regression,0.8875,0.875,0.5774129481386863,0.5883940620782726,0.4631202131202131,0.39285714285714285,beta,414
1,1,Logistic Regression,0.71,0.75,0.5181879603574567,0.5368055555555555,0.6933760683760684,0.5185185185185185,beta,414
2,2,Logistic Regression,0.9166666666666666,0.875,0.5571703205847618,0.5890688259109311,0.45560897435897435,0.2857142857142857,beta,414
3,3,Logistic Regression,0.8041666666666667,0.8125,0.5266931929665896,0.5033738191632929,0.5148740148740149,0.5,beta,414
4,4,Logistic Regression,0.95,0.9500000000000001,0.5537760643019872,0.5287595287595288,0.7571428571428571,0.7678571428571428,beta,414
5,5,Logistic Regression,0.95,0.9375,0.6579674986230211,0.5654269972451791,0.41666666666666663,0.8076923076923077,beta,414
6,6,Logistic Regression,0.8083333333333333,0.7,0.5808552977192515,0.5502425502425503,0.35526418026418033,0.33333333333333337,beta,414
7,7,Logistic Regression,0.75,0.5625,0.5534125503700822,0.48915989159891593,0.587115662115662,0.18,beta,414
8,8,Logistic Regression,0.8125,0.75,0.46850015403866063,0.5177700348432056,0.891155057064148,0.7272727272727273,beta,414
9,9,Logistic Regression,0.7333333333333333,0.75,0.6308252146686105,0.5945945945945945,0.7744588744588745,0.6428571428571428,beta,414
10,10,Logistic Regression,0.875,0.8,0.5451417188239316,0.5190575190575191,0.8167378917378918,0.6851851851851851,beta,414
11,11,Logistic Regression,0.8928571428571428,0.8125,0.541043017701734,0.4986486486486486,0.4586339586339586,0.5555555555555556,beta,414
12,12,Logistic Regression,0.6220238095238095,0.7,0.5365622734754408,0.513157894736842,0.5291937229437229,0.44642857142857145,beta,414
13,13,Logistic Regression,0.6458333333333333,0.6875,0.4774890422538625,0.49864498644986455,0.7769336219336218,0.64,beta,414
14,14,Logistic Regression,0.9166666666666666,0.875,0.5097715668349391,0.497289972899729,0.5453696303696304,0.18000000000000002,beta,414
15,15,Logistic Regression,0.875,0.8,0.5239890919605802,0.5578655578655578,0.7176064676064677,0.48148148148148145,beta,414
16,16,Logistic Regression,0.6116666666666666,0.55,0.5399498964210075,0.4937673130193906,0.7472789115646259,0.75,beta,414
17,17,Logistic Regression,0.6678571428571428,0.5625,0.5273163974939237,0.5040485829959515,0.5652236652236653,0.5,beta,414
18,18,Logistic Regression,0.95,0.9375,0.47821218749910105,0.4966261808367072,0.5015564296814297,0.3392857142857143,beta,414
19,19,Logistic Regression,0.6083333333333333,0.625,0.5049644387363047,0.5067567567567568,0.6324185074185074,0.4814814814814815,beta,414
20,20,Logistic Regression,0.8875,0.875,0.5482471823447691,0.5526315789473685,0.5325854700854701,0.4285714285714286,beta,414
21,21,Logistic Regression,0.8928571428571428,0.8125,0.507259553783563,0.5783783783783784,0.7158027158027158,0.5925925925925926,beta,414
22,22,Logistic Regression,0.8261904761904761,0.75,0.5117827930363449,0.5585585585585586,0.7336767399267399,0.625,beta,414
23,23,Logistic Regression,0.8041666666666667,0.8125,0.5410900918343177,0.4958960328317373,1.0,1.0,beta,414
24,24,Logistic Regression,0.8041666666666667,0.8125,0.5153167197621418,0.5621621621621622,0.6174482924482925,0.5185185185185185,beta,414
25,25,Logistic Regression,0.7861904761904761,0.75,0.5737226246629065,0.5198606271777004,0.34226190476190477,0.4772727272727273,beta,414
26,26,Logistic Regression,0.7095238095238094,0.7000000000000001,0.5309400423453493,0.5235457063711911,0.662202380952381,0.6428571428571428,beta,414
27,27,Logistic Regression,0.8111111111111111,0.6,0.5151473985298457,0.49722991689750695,0.6239022881880024,0.7321428571428571,beta,414
28,28,Logistic Regression,0.7928571428571428,0.75,0.5686078726194779,0.5554016620498614,0.49368894993895,0.4285714285714286,beta,414
29,29,Logistic Regression,1.0,1.0,0.6168923468545046,0.5297297297297296,0.46464646464646464,0.5740740740740741,beta,414
30,30,Logistic Regression,1.0,1.0,0.4930032413469033,0.5051975051975053,0.6894078144078144,0.5,beta,414
31,31,Logistic Regression,0.9166666666666666,0.875,0.5114074929262271,0.5264227642276422,0.7225396825396825,0.56,beta,414
32,32,Logistic Regression,0.9166666666666666,0.9,0.6518752938384904,0.6056826056826057,0.5851250601250602,0.46296296296296297,beta,414
33,33,Logistic Regression,0.875,0.75,0.5095357736668469,0.5013495276653172,0.6642024642024642,0.5535714285714285,beta,414
34,34,Logistic Regression,0.6416666666666666,0.6,0.4985779925674413,0.510387811634349,0.48393035535892676,0.46428571428571425,beta,414
35,35,Logistic Regression,0.8928571428571428,0.85,0.5599997390458638,0.5881944444444445,0.8162004662004662,0.58,beta,414
36,36,Logistic Regression,0.95,0.9375,0.5569056973074574,0.5296896086369771,0.6221230158730158,0.5178571428571428,beta,414
37,37,Logistic Regression,0.81,0.8,0.5573804941551431,0.5301455301455302,0.506990231990232,0.41071428571428575,beta,414
38,38,Logistic Regression,0.9166666666666666,0.875,0.5485485735821858,0.521680216802168,0.33214285714285713,0.39999999999999997,beta,414
39,39,Logistic Regression,0.8261904761904761,0.75,0.4947568510341588,0.4888888888888889,0.33714285714285713,0.46,beta,414
40,40,Logistic Regression,0.9166666666666666,0.875,0.5305818776243397,0.49797570850202433,0.6141369047619047,0.5178571428571429,beta,414
41,41,Logistic Regression,0.7678571428571428,0.7,0.5168466720496312,0.5055555555555555,0.7572333222333223,0.7,beta,414
42,42,Logistic Regression,0.6041666666666666,0.65,0.4949273587723999,0.5163763066202091,0.9606060606060607,0.8636363636363636,beta,414
43,43,Logistic Regression,0.9166666666666666,0.875,0.5338612751602623,0.5013513513513513,0.748880748880749,0.6666666666666666,beta,414
44,44,Logistic Regression,0.95,0.9375,0.5523918419828974,0.518918918918919,0.3833333333333333,0.35185185185185186,beta,414
45,45,Logistic Regression,0.5428571428571428,0.5,0.5592454422405299,0.49055330634278005,0.6576839826839826,0.6428571428571428,beta,414
46,46,Logistic Regression,0.8928571428571428,0.8125,0.5444689215358757,0.5,0.709054834054834,0.5892857142857143,beta,414
47,47,Logistic Regression,0.7611111111111111,0.5499999999999999,0.5447612873300797,0.5020833333333333,0.6997979797979798,0.74,beta,414
48,48,Logistic Regression,0.8928571428571428,0.8125,0.5530318596767188,0.5425675675675676,0.495743762410429,0.24074074074074073,beta,414
