,bootstrap,model,test_average_precision,test_roc_auc,train_average_precision,train_roc_auc,validation_average_precision,validation_roc_auc,distribution,seed
0,0,Logistic Regression,1.0,1.0,0.9595121057283773,0.951388888888889,0.9666666666666666,0.98,beta,17
1,1,Logistic Regression,1.0,1.0,0.9557302746374122,0.9456445993031359,0.95,0.9772727272727273,beta,17
2,2,Logistic Regression,1.0,1.0,0.9498711506293269,0.9493055555555556,0.9909090909090909,0.9800000000000001,beta,17
3,3,Logistic Regression,1.0,1.0,0.9485252872416283,0.9404019404019404,1.0,1.0,beta,17
4,4,Logistic Regression,1.0,1.0,0.9453369779509967,0.9500000000000001,0.9833333333333333,0.96,beta,17
5,5,Logistic Regression,1.0,1.0,0.9454069098346959,0.9458333333333333,1.0,1.0,beta,17
6,6,Logistic Regression,1.0,1.0,0.9599663747585387,0.9624999999999999,0.9833333333333333,0.96,beta,17
7,7,Logistic Regression,1.0,1.0,0.9577272061490458,0.9542619542619543,0.9472222222222222,0.9285714285714286,beta,17
8,8,Logistic Regression,1.0,1.0,0.9693863274425056,0.9701388888888889,0.9229292929292928,0.84,beta,17
9,9,Logistic Regression,1.0,1.0,0.947852877054761,0.9479166666666667,0.9909090909090909,0.9800000000000001,beta,17
10,10,Logistic Regression,1.0,1.0,0.9461204743167435,0.9466389466389467,0.9888888888888889,0.9814814814814815,beta,17
11,11,Logistic Regression,1.0,1.0,0.9638504965819216,0.9598337950138505,0.9240362811791383,0.9285714285714286,beta,17
12,12,Logistic Regression,1.0,1.0,0.9441970421445133,0.9491289198606272,1.0,1.0,beta,17
13,13,Logistic Regression,1.0,1.0,0.9515670419444324,0.9534722222222223,0.9575757575757577,0.925925925925926,beta,17
14,14,Logistic Regression,1.0,1.0,0.9603224950069695,0.9542619542619541,0.9617346938775511,0.9642857142857143,beta,17
15,15,Logistic Regression,1.0,1.0,0.9645212368257786,0.9591412742382271,0.9129251700680272,0.9107142857142857,beta,17
16,16,Logistic Regression,1.0,1.0,0.9709868392708415,0.9702216066481995,0.975,0.9642857142857143,beta,17
17,17,Logistic Regression,1.0,1.0,0.9488218065722696,0.9480249480249481,0.975,0.9642857142857143,beta,17
18,18,Logistic Regression,1.0,1.0,0.9759084601182304,0.9770833333333333,0.9202380952380953,0.8703703703703703,beta,17
19,19,Logistic Regression,1.0,1.0,0.9535726639167799,0.9494109494109494,0.9888888888888889,0.9814814814814815,beta,17
20,20,Logistic Regression,1.0,1.0,0.9540747662073805,0.9494459833795015,1.0,1.0,beta,17
21,21,Logistic Regression,1.0,1.0,0.9561420435791925,0.9556479556479556,0.9535634118967453,0.925925925925926,beta,17
22,22,Logistic Regression,1.0,1.0,0.9634378475961571,0.9598337950138504,0.8801587301587301,0.8928571428571428,beta,17
23,23,Logistic Regression,1.0,1.0,0.9529544537649317,0.9438669438669439,1.0,1.0,beta,17
24,24,Logistic Regression,1.0,1.0,0.9524356278206282,0.9459459459459459,0.9325396825396826,0.9285714285714286,beta,17
25,25,Logistic Regression,1.0,1.0,0.9518480656072432,0.9430555555555556,1.0,1.0,beta,17
26,26,Logistic Regression,1.0,1.0,0.9550842108651412,0.954954954954955,0.975,0.9642857142857143,beta,17
27,27,Logistic Regression,1.0,1.0,0.9586439150614425,0.9514899514899515,0.976190476190476,0.9814814814814814,beta,17
28,28,Logistic Regression,1.0,1.0,0.9386428160387856,0.9362439362439363,1.0,1.0,beta,17
29,29,Logistic Regression,1.0,1.0,0.94239288721231,0.9417879417879418,1.0,1.0,beta,17
30,30,Logistic Regression,1.0,1.0,0.9560561025193529,0.9507969507969508,0.9617346938775511,0.9642857142857143,beta,17
31,31,Logistic Regression,1.0,1.0,0.9416707556946773,0.9417879417879418,1.0,1.0,beta,17
32,32,Logistic Regression,1.0,1.0,0.9599713534801935,0.9584199584199584,1.0,1.0,beta,17
33,33,Logistic Regression,1.0,1.0,0.9547117720091463,0.9439775910364145,1.0,1.0,beta,17
34,34,Logistic Regression,1.0,1.0,0.9721118541986493,0.9695079695079696,0.975,0.9642857142857143,beta,17
35,35,Logistic Regression,1.0,1.0,0.9542183718268078,0.9514899514899515,1.0,1.0,beta,17
36,36,Logistic Regression,1.0,1.0,0.960536488756937,0.9584487534626039,0.9571428571428571,0.9464285714285714,beta,17
37,37,Logistic Regression,1.0,1.0,0.9715387805933388,0.9695290858725761,0.8690476190476191,0.875,beta,17
38,38,Logistic Regression,1.0,1.0,0.9458100846015561,0.9411357340720221,0.9999999999999998,1.0,beta,17
39,39,Logistic Regression,1.0,1.0,0.9521008567232759,0.9423611111111112,0.9666666666666666,0.98,beta,17
40,40,Logistic Regression,1.0,1.0,0.9607081096396153,0.9645833333333333,0.8954415954415955,0.7962962962962963,beta,17
41,41,Logistic Regression,1.0,1.0,0.9417700768294832,0.9383656509695291,1.0,1.0,beta,17
42,42,Logistic Regression,1.0,1.0,0.9509145408936442,0.9493055555555554,1.0,1.0,beta,17
43,43,Logistic Regression,1.0,1.0,0.9548148774954934,0.9535689535689537,0.932426948051948,0.9107142857142857,beta,17
44,44,Logistic Regression,1.0,1.0,0.9456099045958972,0.9424809424809425,1.0,1.0,beta,17
45,45,Logistic Regression,1.0,1.0,0.9756399548664294,0.974376731301939,0.8962585034013604,0.875,beta,17
46,46,Logistic Regression,1.0,1.0,0.9505789363624261,0.946693657219973,1.0,1.0,beta,17
47,47,Logistic Regression,1.0,1.0,0.9676153881827035,0.966042966042966,0.9325396825396826,0.9285714285714286,beta,17
48,48,Logistic Regression,1.0,1.0,0.9629322384407767,0.9576388888888888,0.8253968253968254,0.86,beta,17
49,49,Logistic Regression,1.0,1.0,0.9655807612641368,0.96875,0.9361111111111113,0.8888888888888888,beta,17
50,50,Logistic Regression,1.0,1.0,0.9645977413863325,0.9639639639639639,0.9659090909090909,0.9464285714285714,beta,17
51,51,Logistic Regression,1.0,1.0,0.968323512190207,0.9646569646569646,0.9107142857142857,0.9259259259259259,beta,17
52,52,Logistic Regression,1.0,1.0,0.9459091960593682,0.9424809424809425,1.0,1.0,beta,17
53,53,Logistic Regression,1.0,1.0,0.9639613242141439,0.95625,0.9266666666666665,0.96,beta,17
54,54,Logistic Regression,1.0,1.0,0.9521817739855116,0.9507969507969507,0.9765432098765432,0.962962962962963,beta,17
55,55,Logistic Regression,1.0,1.0,0.9637694340975453,0.959141274238227,0.9085317460317461,0.8928571428571428,beta,17
56,56,Logistic Regression,1.0,1.0,0.9443963556374003,0.9397506925207755,0.9999999999999998,1.0,beta,17
57,57,Logistic Regression,1.0,1.0,0.9459326328213509,0.9438669438669439,1.0,1.0,beta,17
58,58,Logistic Regression,1.0,1.0,0.9606225695621147,0.9577562326869806,0.9999999999999998,1.0,beta,17
59,59,Logistic Regression,1.0,1.0,0.967553641207492,0.9632963988919667,0.9206845238095238,0.9107142857142857,beta,17
60,60,Logistic Regression,1.0,1.0,0.939947699376551,0.9376299376299376,1.0,1.0,beta,17
61,61,Logistic Regression,1.0,1.0,0.9602580262380622,0.9591412742382271,0.8976190476190475,0.8928571428571428,beta,17
