,model,metric,performance_bootstrap,value,distribution,seed
0,Logistic Regression,roc_auc,0,0.8033651956293988,beta,271
1,Logistic Regression,roc_auc,1,0.791273756322906,beta,271
2,Logistic Regression,roc_auc,2,0.7971630209613426,beta,271
3,Logistic Regression,roc_auc,3,0.7997972430026169,beta,271
4,Logistic Regression,roc_auc,4,0.7788424235305842,beta,271
5,Logistic Regression,roc_auc,5,0.7920289317029165,beta,271
6,Logistic Regression,roc_auc,6,0.7979129184119014,beta,271
7,Logistic Regression,roc_auc,7,0.7870938837155242,beta,271
8,Logistic Regression,roc_auc,8,0.7899617709815079,beta,271
9,Logistic Regression,roc_auc,9,0.7823162029028836,beta,271
10,Logistic Regression,roc_auc,10,0.8079244234509586,beta,271
11,Logistic Regression,roc_auc,11,0.7874098442841677,beta,271
12,Logistic Regression,roc_auc,12,0.7830298768021459,beta,271
13,Logistic Regression,roc_auc,13,0.7803486705407838,beta,271
14,Logistic Regression,roc_auc,14,0.7827040197049677,beta,271
15,Logistic Regression,roc_auc,15,0.7865300725563616,beta,271
16,Logistic Regression,roc_auc,16,0.8009559043401493,beta,271
17,Logistic Regression,roc_auc,17,0.7849053165007112,beta,271
18,Logistic Regression,roc_auc,18,0.7975469942320663,beta,271
19,Logistic Regression,roc_auc,19,0.7980013682195233,beta,271
20,Logistic Regression,roc_auc,20,0.8139324271367894,beta,271
21,Logistic Regression,roc_auc,21,0.7943801120668683,beta,271
22,Logistic Regression,roc_auc,22,0.7891398028691757,beta,271
23,Logistic Regression,roc_auc,23,0.7945711140026024,beta,271
24,Logistic Regression,roc_auc,24,0.7974092564146327,beta,271
25,Logistic Regression,roc_auc,25,0.7883310278858395,beta,271
26,Logistic Regression,roc_auc,26,0.7912358779410804,beta,271
27,Logistic Regression,roc_auc,27,0.8010139428250389,beta,271
28,Logistic Regression,roc_auc,28,0.7848511394045576,beta,271
29,Logistic Regression,roc_auc,29,0.8005320473152238,beta,271
30,Logistic Regression,roc_auc,30,0.7877916990202584,beta,271
31,Logistic Regression,roc_auc,31,0.8101416095423879,beta,271
32,Logistic Regression,roc_auc,32,0.7941823152021819,beta,271
33,Logistic Regression,roc_auc,33,0.7893201603390392,beta,271
34,Logistic Regression,roc_auc,34,0.8067529400046956,beta,271
35,Logistic Regression,roc_auc,35,0.784508094645081,beta,271
36,Logistic Regression,roc_auc,36,0.7793226041822944,beta,271
37,Logistic Regression,roc_auc,37,0.8058145803620357,beta,271
38,Logistic Regression,roc_auc,38,0.7920843893112801,beta,271
39,Logistic Regression,roc_auc,39,0.774334208447945,beta,271
40,Logistic Regression,roc_auc,40,0.7873715901516943,beta,271
41,Logistic Regression,roc_auc,41,0.7915287859399217,beta,271
42,Logistic Regression,roc_auc,42,0.7917063082063767,beta,271
43,Logistic Regression,roc_auc,43,0.7805300297415756,beta,271
44,Logistic Regression,roc_auc,44,0.7757012629426381,beta,271
45,Logistic Regression,roc_auc,45,0.7919597507063602,beta,271
46,Logistic Regression,roc_auc,46,0.7849331081381395,beta,271
47,Logistic Regression,roc_auc,47,0.7886753020940238,beta,271
48,Logistic Regression,roc_auc,48,0.7858375881784048,beta,271
49,Logistic Regression,roc_auc,49,0.7947603532268237,beta,271
50,Logistic Regression,average_precision,0,0.8094663351777167,beta,271
51,Logistic Regression,average_precision,1,0.7895486429615846,beta,271
52,Logistic Regression,average_precision,2,0.7968512232519768,beta,271
53,Logistic Regression,average_precision,3,0.7871257100337303,beta,271
54,Logistic Regression,average_precision,4,0.783972653211646,beta,271
55,Logistic Regression,average_precision,5,0.794388977326483,beta,271
56,Logistic Regression,average_precision,6,0.8073094163796137,beta,271
57,Logistic Regression,average_precision,7,0.7926559063403965,beta,271
58,Logistic Regression,average_precision,8,0.788152327012183,beta,271
59,Logistic Regression,average_precision,9,0.7556698909169973,beta,271
60,Logistic Regression,average_precision,10,0.8112102029526239,beta,271
61,Logistic Regression,average_precision,11,0.7874423638867686,beta,271
62,Logistic Regression,average_precision,12,0.7749564132062106,beta,271
63,Logistic Regression,average_precision,13,0.7788369823079572,beta,271
64,Logistic Regression,average_precision,14,0.7892176517773832,beta,271
65,Logistic Regression,average_precision,15,0.7795426073763633,beta,271
66,Logistic Regression,average_precision,16,0.8169322689806546,beta,271
67,Logistic Regression,average_precision,17,0.7848300679973792,beta,271
68,Logistic Regression,average_precision,18,0.7905220231973411,beta,271
69,Logistic Regression,average_precision,19,0.784842189338695,beta,271
70,Logistic Regression,average_precision,20,0.8099565268415886,beta,271
71,Logistic Regression,average_precision,21,0.7981001243396613,beta,271
72,Logistic Regression,average_precision,22,0.793289068227832,beta,271
73,Logistic Regression,average_precision,23,0.7995870311572139,beta,271
74,Logistic Regression,average_precision,24,0.7887535552634285,beta,271
75,Logistic Regression,average_precision,25,0.7857083944899812,beta,271
76,Logistic Regression,average_precision,26,0.7912708856839531,beta,271
77,Logistic Regression,average_precision,27,0.8040767352034225,beta,271
78,Logistic Regression,average_precision,28,0.784262271605083,beta,271
79,Logistic Regression,average_precision,29,0.7916386379868479,beta,271
80,Logistic Regression,average_precision,30,0.781041506619748,beta,271
81,Logistic Regression,average_precision,31,0.8076125945338206,beta,271
82,Logistic Regression,average_precision,32,0.7992319603047044,beta,271
83,Logistic Regression,average_precision,33,0.7959156807869929,beta,271
84,Logistic Regression,average_precision,34,0.8068482612279663,beta,271
85,Logistic Regression,average_precision,35,0.7931545276693382,beta,271
86,Logistic Regression,average_precision,36,0.7956423800569522,beta,271
87,Logistic Regression,average_precision,37,0.7984891091602364,beta,271
88,Logistic Regression,average_precision,38,0.7945538091503903,beta,271
89,Logistic Regression,average_precision,39,0.7637226816457494,beta,271
90,Logistic Regression,average_precision,40,0.7975304172280331,beta,271
91,Logistic Regression,average_precision,41,0.7898167919625502,beta,271
92,Logistic Regression,average_precision,42,0.7872565363454331,beta,271
93,Logistic Regression,average_precision,43,0.7952116970179719,beta,271
94,Logistic Regression,average_precision,44,0.7789679153270452,beta,271
95,Logistic Regression,average_precision,45,0.7996342565955574,beta,271
96,Logistic Regression,average_precision,46,0.7863588381678213,beta,271
97,Logistic Regression,average_precision,47,0.7808230529318361,beta,271
98,Logistic Regression,average_precision,48,0.7767674259845101,beta,271
99,Logistic Regression,average_precision,49,0.8035030374565788,beta,271
