,bootstrap,feature,importance,model,distribution,seed
0,0,biomarker,-1.8827718012382166,Logistic Regression,beta,357
1,0,Intercept,1.3668446719780163,Logistic Regression,beta,357
0,1,biomarker,-2.155457068713617,Logistic Regression,beta,357
1,1,Intercept,1.5821978298119623,Logistic Regression,beta,357
0,2,biomarker,-1.747252422485667,Logistic Regression,beta,357
1,2,Intercept,1.0256055115883338,Logistic Regression,beta,357
0,3,biomarker,-2.240487580690671,Logistic Regression,beta,357
1,3,Intercept,1.4981822891864054,Logistic Regression,beta,357
0,4,biomarker,-1.9323613151154417,Logistic Regression,beta,357
1,4,Intercept,1.1644065230390992,Logistic Regression,beta,357
0,5,biomarker,-1.68223241158423,Logistic Regression,beta,357
1,5,Intercept,0.9681710599158233,Logistic Regression,beta,357
0,6,biomarker,-2.171659075112764,Logistic Regression,beta,357
1,6,Intercept,1.2835363417626147,Logistic Regression,beta,357
0,7,biomarker,-2.1455017864397856,Logistic Regression,beta,357
1,7,Intercept,1.3742093634079744,Logistic Regression,beta,357
0,8,biomarker,-1.9812181759996064,Logistic Regression,beta,357
1,8,Intercept,1.1430888740099312,Logistic Regression,beta,357
0,9,biomarker,-1.5587697512624583,Logistic Regression,beta,357
1,9,Intercept,0.8846326199999965,Logistic Regression,beta,357
0,10,biomarker,-1.5950036381695052,Logistic Regression,beta,357
1,10,Intercept,0.9720641957699658,Logistic Regression,beta,357
0,11,biomarker,-1.6660404823614183,Logistic Regression,beta,357
1,11,Intercept,1.1236742007567906,Logistic Regression,beta,357
0,12,biomarker,-1.3238154444215071,Logistic Regression,beta,357
1,12,Intercept,0.7070534110024895,Logistic Regression,beta,357
0,13,biomarker,-1.720489645835351,Logistic Regression,beta,357
1,13,Intercept,1.057350971062475,Logistic Regression,beta,357
0,14,biomarker,-1.7130602940951507,Logistic Regression,beta,357
1,14,Intercept,1.1327827121167477,Logistic Regression,beta,357
0,15,biomarker,-2.1509710778506226,Logistic Regression,beta,357
1,15,Intercept,1.438773425834846,Logistic Regression,beta,357
0,16,biomarker,-1.9063128171449373,Logistic Regression,beta,357
1,16,Intercept,1.1820611107400205,Logistic Regression,beta,357
0,17,biomarker,-2.488496896433836,Logistic Regression,beta,357
1,17,Intercept,1.5421911232215684,Logistic Regression,beta,357
0,18,biomarker,-1.5963224104767473,Logistic Regression,beta,357
1,18,Intercept,0.956720408088335,Logistic Regression,beta,357
0,19,biomarker,-1.4725519445517945,Logistic Regression,beta,357
1,19,Intercept,0.8929239756872158,Logistic Regression,beta,357
0,20,biomarker,-1.6451573084056004,Logistic Regression,beta,357
1,20,Intercept,1.04991284011408,Logistic Regression,beta,357
0,21,biomarker,-2.282916009201661,Logistic Regression,beta,357
1,21,Intercept,1.4125079846662576,Logistic Regression,beta,357
0,22,biomarker,-1.0725969677390952,Logistic Regression,beta,357
1,22,Intercept,0.7223117804758543,Logistic Regression,beta,357
0,23,biomarker,-1.9304420238223086,Logistic Regression,beta,357
1,23,Intercept,1.2852848197375528,Logistic Regression,beta,357
0,24,biomarker,-1.8308108468468172,Logistic Regression,beta,357
1,24,Intercept,1.1495290608525854,Logistic Regression,beta,357
0,25,biomarker,-2.37768602166263,Logistic Regression,beta,357
1,25,Intercept,1.6861467188468438,Logistic Regression,beta,357
0,26,biomarker,-1.8003851140506941,Logistic Regression,beta,357
1,26,Intercept,1.1209773421201072,Logistic Regression,beta,357
0,27,biomarker,-1.3126386246045716,Logistic Regression,beta,357
1,27,Intercept,0.9084481649843399,Logistic Regression,beta,357
0,28,biomarker,-1.937957008981982,Logistic Regression,beta,357
1,28,Intercept,1.164463063293923,Logistic Regression,beta,357
0,29,biomarker,-2.0397811747099124,Logistic Regression,beta,357
1,29,Intercept,1.263036800712872,Logistic Regression,beta,357
0,30,biomarker,-1.3188236452825106,Logistic Regression,beta,357
1,30,Intercept,0.8652161698399257,Logistic Regression,beta,357
0,31,biomarker,-1.5442279448227771,Logistic Regression,beta,357
1,31,Intercept,0.9286783026663199,Logistic Regression,beta,357
0,32,biomarker,-1.6932840086397545,Logistic Regression,beta,357
1,32,Intercept,1.006756355038964,Logistic Regression,beta,357
0,33,biomarker,-2.4402960493138477,Logistic Regression,beta,357
1,33,Intercept,1.8119848926970543,Logistic Regression,beta,357
0,34,biomarker,-1.238871499509312,Logistic Regression,beta,357
1,34,Intercept,0.775429243682213,Logistic Regression,beta,357
0,35,biomarker,-1.8604138642281318,Logistic Regression,beta,357
1,35,Intercept,1.1168853113408272,Logistic Regression,beta,357
0,36,biomarker,-1.079625330794121,Logistic Regression,beta,357
1,36,Intercept,0.720339752054439,Logistic Regression,beta,357
0,37,biomarker,-2.0188153749624025,Logistic Regression,beta,357
1,37,Intercept,1.3743923155508033,Logistic Regression,beta,357
0,38,biomarker,-1.7302866967461101,Logistic Regression,beta,357
1,38,Intercept,1.1660439210345312,Logistic Regression,beta,357
0,39,biomarker,-1.523148567541275,Logistic Regression,beta,357
1,39,Intercept,1.0930675317620295,Logistic Regression,beta,357
0,40,biomarker,-2.0541366634794724,Logistic Regression,beta,357
1,40,Intercept,1.279794004064987,Logistic Regression,beta,357
0,41,biomarker,-1.71945509325698,Logistic Regression,beta,357
1,41,Intercept,1.099431794239767,Logistic Regression,beta,357
0,42,biomarker,-1.8137185741934996,Logistic Regression,beta,357
1,42,Intercept,1.0993895270607736,Logistic Regression,beta,357
0,43,biomarker,-1.7210629598019145,Logistic Regression,beta,357
1,43,Intercept,1.1037196676205485,Logistic Regression,beta,357
0,44,biomarker,-1.5316621285056127,Logistic Regression,beta,357
1,44,Intercept,0.936237562193795,Logistic Regression,beta,357
0,45,biomarker,-1.797804647246049,Logistic Regression,beta,357
1,45,Intercept,1.205902059976304,Logistic Regression,beta,357
0,46,biomarker,-2.556873202912786,Logistic Regression,beta,357
1,46,Intercept,1.6214927062911049,Logistic Regression,beta,357
0,47,biomarker,-1.8977309088733416,Logistic Regression,beta,357
1,47,Intercept,1.2265999054356196,Logistic Regression,beta,357
0,48,biomarker,-2.4270335755212677,Logistic Regression,beta,357
1,48,Intercept,1.6598149482739197,Logistic Regression,beta,357
0,49,biomarker,-1.9567260542314164,Logistic Regression,beta,357
1,49,Intercept,1.1862141180544867,Logistic Regression,beta,357
0,50,biomarker,-1.6234741442603808,Logistic Regression,beta,357
1,50,Intercept,1.0333427329834999,Logistic Regression,beta,357
0,51,biomarker,-2.4069184573939193,Logistic Regression,beta,357
1,51,Intercept,1.621897985472732,Logistic Regression,beta,357
0,52,biomarker,-1.9341044700174612,Logistic Regression,beta,357
1,52,Intercept,1.1881151247757848,Logistic Regression,beta,357
0,53,biomarker,-2.746279784553979,Logistic Regression,beta,357
1,53,Intercept,1.971739763139712,Logistic Regression,beta,357
0,54,biomarker,-1.8168209332154641,Logistic Regression,beta,357
1,54,Intercept,1.0944915300741498,Logistic Regression,beta,357
0,55,biomarker,-1.9924161621563503,Logistic Regression,beta,357
1,55,Intercept,1.2534667521004081,Logistic Regression,beta,357
0,56,biomarker,-1.3091079773374623,Logistic Regression,beta,357
1,56,Intercept,0.8773309627193784,Logistic Regression,beta,357
0,57,biomarker,-1.353747527735622,Logistic Regression,beta,357
1,57,Intercept,0.8380415627516191,Logistic Regression,beta,357
0,58,biomarker,-1.8289387007963962,Logistic Regression,beta,357
1,58,Intercept,1.2075489163895075,Logistic Regression,beta,357
0,59,biomarker,-2.2199183031957284,Logistic Regression,beta,357
1,59,Intercept,1.4498517522773304,Logistic Regression,beta,357
0,60,biomarker,-1.9221078289607738,Logistic Regression,beta,357
1,60,Intercept,1.2024339158635686,Logistic Regression,beta,357
0,61,biomarker,-1.9663123584088456,Logistic Regression,beta,357
1,61,Intercept,1.312220033539912,Logistic Regression,beta,357
0,62,biomarker,-1.8671870613583066,Logistic Regression,beta,357
1,62,Intercept,1.3533922261839577,Logistic Regression,beta,357
0,63,biomarker,-1.7572169190678373,Logistic Regression,beta,357
1,63,Intercept,1.2358315101341852,Logistic Regression,beta,357
0,64,biomarker,-1.9419795003426503,Logistic Regression,beta,357
1,64,Intercept,1.2360035073826061,Logistic Regression,beta,357
0,65,biomarker,-1.7643357812007063,Logistic Regression,beta,357
1,65,Intercept,1.1868194946221602,Logistic Regression,beta,357
0,66,biomarker,-2.1003786563951734,Logistic Regression,beta,357
1,66,Intercept,1.277054332929814,Logistic Regression,beta,357
0,67,biomarker,-2.3903507634306718,Logistic Regression,beta,357
1,67,Intercept,1.5395362825262342,Logistic Regression,beta,357
0,68,biomarker,-2.413378426817464,Logistic Regression,beta,357
1,68,Intercept,1.5675051326912457,Logistic Regression,beta,357
0,69,biomarker,-1.5195108377727764,Logistic Regression,beta,357
1,69,Intercept,0.999480606287523,Logistic Regression,beta,357
0,70,biomarker,-2.1837348333912363,Logistic Regression,beta,357
1,70,Intercept,1.5130556746669592,Logistic Regression,beta,357
0,71,biomarker,-1.6904927560779741,Logistic Regression,beta,357
1,71,Intercept,1.1373687219956168,Logistic Regression,beta,357
0,72,biomarker,-2.354765551161639,Logistic Regression,beta,357
1,72,Intercept,1.626409637187289,Logistic Regression,beta,357
0,73,biomarker,-0.97621591698804,Logistic Regression,beta,357
1,73,Intercept,0.6055979279542918,Logistic Regression,beta,357
0,74,biomarker,-1.3973117585933943,Logistic Regression,beta,357
1,74,Intercept,0.78328058077818,Logistic Regression,beta,357
0,75,biomarker,-1.43904552067731,Logistic Regression,beta,357
1,75,Intercept,0.9570180322860199,Logistic Regression,beta,357
0,76,biomarker,-1.0185132275410753,Logistic Regression,beta,357
1,76,Intercept,0.5481488763185778,Logistic Regression,beta,357
0,77,biomarker,-2.1653868345580727,Logistic Regression,beta,357
1,77,Intercept,1.5540623839995482,Logistic Regression,beta,357
0,78,biomarker,-1.675129861691111,Logistic Regression,beta,357
1,78,Intercept,0.9473517562082401,Logistic Regression,beta,357
0,79,biomarker,-1.507665332386209,Logistic Regression,beta,357
1,79,Intercept,0.9530959664763418,Logistic Regression,beta,357
0,80,biomarker,-2.285624724646954,Logistic Regression,beta,357
1,80,Intercept,1.5031764095301914,Logistic Regression,beta,357
0,81,biomarker,-2.513861710360412,Logistic Regression,beta,357
1,81,Intercept,1.5774237062728653,Logistic Regression,beta,357
0,82,biomarker,-1.2078214844114572,Logistic Regression,beta,357
1,82,Intercept,0.7009039269253104,Logistic Regression,beta,357
0,83,biomarker,-2.4020931257486415,Logistic Regression,beta,357
1,83,Intercept,1.6717411701772846,Logistic Regression,beta,357
0,84,biomarker,-1.2823593951822203,Logistic Regression,beta,357
1,84,Intercept,0.7945144602629067,Logistic Regression,beta,357
0,85,biomarker,-1.6551016451481915,Logistic Regression,beta,357
