,bootstrap,model,test_average_precision,test_roc_auc,train_average_precision,train_roc_auc,validation_average_precision,validation_roc_auc,distribution,seed
0,0,Logistic Regression,0.875,0.75,0.5751853623512202,0.5168690958164642,0.6076839826839826,0.6428571428571428,normal,145
1,1,Logistic Regression,0.6791666666666667,0.75,0.5090419051743313,0.5182432432432432,0.7080586080586082,0.5555555555555556,normal,145
2,2,Logistic Regression,0.8444444444444443,0.7,0.4587700537755115,0.49896049896049893,0.49091880341880345,0.375,normal,145
3,3,Logistic Regression,0.8875,0.875,0.5525763443319349,0.5276653171390013,0.48692973692973696,0.3214285714285714,normal,145
4,4,Logistic Regression,0.6791666666666667,0.75,0.5142818600878503,0.4655870445344129,0.528097299525871,0.6071428571428571,normal,145
5,5,Logistic Regression,0.9266666666666665,0.8666666666666667,0.6783670872050215,0.6559507523939808,0.30952380952380953,0.7307692307692308,normal,145
6,6,Logistic Regression,0.8541666666666666,0.8125,0.5204525592508389,0.5141891891891892,0.5493686868686869,0.5,normal,145
7,7,Logistic Regression,0.6083333333333333,0.7,0.522266308699272,0.5131944444444444,0.7601373626373626,0.7,normal,145
8,8,Logistic Regression,0.6791666666666667,0.75,0.5134757684839587,0.5428571428571428,0.6838646202282566,0.3863636363636364,normal,145
9,9,Logistic Regression,0.9266666666666665,0.9,0.5315537887929598,0.5491689750692521,0.770439084724799,0.6964285714285713,normal,145
10,10,Logistic Regression,0.925,0.8500000000000001,0.49672170338406085,0.5375,0.4529267029267029,0.12962962962962962,normal,145
11,11,Logistic Regression,0.8928571428571428,0.8125,0.576477329139218,0.47702702702702704,0.560515873015873,0.6851851851851852,normal,145
12,12,Logistic Regression,0.7095238095238094,0.7000000000000001,0.5197250890003712,0.5152354570637119,0.8318452380952381,0.7678571428571429,normal,145
13,13,Logistic Regression,0.9166666666666666,0.875,0.5427757352746398,0.5453929539295393,0.8089194139194139,0.5599999999999999,normal,145
14,14,Logistic Regression,0.8875,0.875,0.4946994822534783,0.5210027100271002,0.7038256188256188,0.38,normal,145
