,bootstrap,model,test_average_precision,test_roc_auc,train_average_precision,train_roc_auc,validation_average_precision,validation_roc_auc,distribution,seed
0,0,Logistic Regression,0.8303571428571428,0.8,0.5660081045852117,0.4989604989604989,0.3845368916797488,0.26785714285714285,normal,173
1,1,Logistic Regression,0.7928571428571428,0.75,0.5034735962146633,0.5024255024255024,0.6567666901000233,0.38888888888888884,normal,173
2,2,Logistic Regression,1.0,1.0,0.5666238006472253,0.5931174089068826,0.4715811965811966,0.3214285714285714,normal,173
3,3,Logistic Regression,0.95,0.9375,0.5653466550399034,0.534412955465587,0.4840266875981162,0.30357142857142855,normal,173
4,4,Logistic Regression,0.7470238095238095,0.75,0.5642122672582139,0.5079695079695079,0.41287284144427006,0.3571428571428571,normal,173
5,5,Logistic Regression,0.8875,0.875,0.6034561154232834,0.5275482093663912,0.45,0.846153846153846,normal,173
6,6,Logistic Regression,0.9166666666666666,0.875,0.5418193243958364,0.49121621621621625,0.322039072039072,0.2592592592592593,normal,173
7,7,Logistic Regression,0.8125,0.75,0.5514662227770412,0.5041666666666667,0.5412798312798313,0.21999999999999997,normal,173
8,8,Logistic Regression,0.7708333333333333,0.75,0.4684302092860775,0.507482993197279,0.9305916305916306,0.7727272727272727,normal,173
9,9,Logistic Regression,1.0,1.0,0.6688144704330451,0.6528066528066528,0.5635745207173779,0.4464285714285714,normal,173
10,10,Logistic Regression,0.6791666666666667,0.8,0.545408581849641,0.5336105336105336,0.7864789531456198,0.7037037037037037,normal,173
11,11,Logistic Regression,1.0,1.0,0.5802590194637733,0.5256756756756757,0.6294705294705294,0.537037037037037,normal,173
12,12,Logistic Regression,0.8875,0.875,0.5689690016324401,0.5661268556005398,0.4887896825396825,0.3928571428571429,normal,173
13,13,Logistic Regression,0.5666666666666667,0.5625,0.5105412483646643,0.5311653116531165,0.6793578643578644,0.6,normal,173
14,14,Logistic Regression,0.8303571428571428,0.75,0.5353242394347357,0.5724932249322494,0.5125702075702075,0.11999999999999997,normal,173
15,15,Logistic Regression,0.7291666666666666,0.625,0.4916524852397335,0.4898648648648649,0.583814950481617,0.2962962962962963,normal,173
16,16,Logistic Regression,0.8711111111111112,0.7500000000000001,0.6268787592049514,0.5789473684210527,0.5558520844235131,0.4107142857142857,normal,173
17,17,Logistic Regression,0.7277777777777779,0.6000000000000001,0.5358261757553862,0.42867036011080334,0.5335077620791906,0.4464285714285714,normal,173
18,18,Logistic Regression,0.7333333333333333,0.6875,0.5385686904104351,0.5067476383265858,0.447790404040404,0.2857142857142857,normal,173
19,19,Logistic Regression,0.7708333333333333,0.75,0.49835524166652423,0.472972972972973,0.5612433862433863,0.3888888888888889,normal,173
20,20,Logistic Regression,0.925,0.8500000000000001,0.5869695165329047,0.5835065835065835,0.4944978632478632,0.32142857142857145,normal,173
21,21,Logistic Regression,1.0,1.0,0.5486245946820507,0.5777027027027027,0.6723951973951974,0.4444444444444445,normal,173
22,22,Logistic Regression,0.8253968253968254,0.6499999999999999,0.4906156278472061,0.49272349272349275,0.7669507575757575,0.7321428571428571,normal,173
23,23,Logistic Regression,0.7708333333333333,0.75,0.5726216097261354,0.5109439124487004,0.1638888888888889,0.19444444444444442,normal,173
24,24,Logistic Regression,0.9166666666666666,0.875,0.5625936221737724,0.5898648648648648,0.686976911976912,0.5185185185185186,normal,173
25,25,Logistic Regression,0.925,0.8500000000000001,0.6431684958118475,0.5777003484320558,0.37380952380952376,0.6136363636363635,normal,173
26,26,Logistic Regression,0.95,0.9375,0.6127146001725857,0.5951417004048583,0.7214556277056277,0.5714285714285714,normal,173
27,27,Logistic Regression,0.6041666666666666,0.5625,0.5348439466879885,0.4709851551956815,0.5192700156985871,0.5535714285714286,normal,173
