,bootstrap,feature,importance,model,distribution,seed
0,0,biomarker,-0.2867916340091338,Logistic Regression,normal,460
1,0,Intercept,0.1701213863716151,Logistic Regression,normal,460
0,1,biomarker,1.0994460233513503,Logistic Regression,normal,460
1,1,Intercept,-0.646220383849043,Logistic Regression,normal,460
0,2,biomarker,1.9876007285959716,Logistic Regression,normal,460
1,2,Intercept,-1.0560056038425374,Logistic Regression,normal,460
0,3,biomarker,-0.05173463526856574,Logistic Regression,normal,460
1,3,Intercept,0.04996847605170253,Logistic Regression,normal,460
0,4,biomarker,0.29430846622729884,Logistic Regression,normal,460
1,4,Intercept,-0.14223193464656805,Logistic Regression,normal,460
0,5,biomarker,-0.8330766912682481,Logistic Regression,normal,460
1,5,Intercept,0.6977933744224458,Logistic Regression,normal,460
0,6,biomarker,-0.6813615819964596,Logistic Regression,normal,460
1,6,Intercept,0.42927643726931647,Logistic Regression,normal,460
0,7,biomarker,-0.2575054698742525,Logistic Regression,normal,460
1,7,Intercept,0.015049968345513913,Logistic Regression,normal,460
0,8,biomarker,-1.738124154695494,Logistic Regression,normal,460
1,8,Intercept,0.7366295722153152,Logistic Regression,normal,460
0,9,biomarker,0.6390093060403117,Logistic Regression,normal,460
1,9,Intercept,-0.3061833104756727,Logistic Regression,normal,460
0,10,biomarker,0.24471632879658975,Logistic Regression,normal,460
1,10,Intercept,-0.19720279903964041,Logistic Regression,normal,460
0,11,biomarker,0.7865241294063705,Logistic Regression,normal,460
1,11,Intercept,-0.33696931836106336,Logistic Regression,normal,460
0,12,biomarker,0.08863398406482415,Logistic Regression,normal,460
1,12,Intercept,-0.07050122825774789,Logistic Regression,normal,460
0,13,biomarker,-1.368786168249853,Logistic Regression,normal,460
1,13,Intercept,0.5904157202997498,Logistic Regression,normal,460
0,14,biomarker,-1.2987788758967453,Logistic Regression,normal,460
1,14,Intercept,0.5291271408488726,Logistic Regression,normal,460
0,15,biomarker,0.23472347143395747,Logistic Regression,normal,460
1,15,Intercept,-0.19103740461060734,Logistic Regression,normal,460
0,16,biomarker,-3.1695356330278766,Logistic Regression,normal,460
1,16,Intercept,1.6615293159912798,Logistic Regression,normal,460
0,17,biomarker,-1.0106884403734846,Logistic Regression,normal,460
1,17,Intercept,0.5527882887244815,Logistic Regression,normal,460
0,18,biomarker,-0.8504166138476497,Logistic Regression,normal,460
1,18,Intercept,0.4235015855543709,Logistic Regression,normal,460
0,19,biomarker,0.968156365243158,Logistic Regression,normal,460
1,19,Intercept,-0.5740504241544495,Logistic Regression,normal,460
0,20,biomarker,2.4965056479736676,Logistic Regression,normal,460
1,20,Intercept,-1.3474458932590718,Logistic Regression,normal,460
0,21,biomarker,1.2549434860780353,Logistic Regression,normal,460
1,21,Intercept,-0.7227216014509471,Logistic Regression,normal,460
0,22,biomarker,-1.420650896734623,Logistic Regression,normal,460
1,22,Intercept,0.7086991353197354,Logistic Regression,normal,460
0,23,biomarker,-0.34876761216137553,Logistic Regression,normal,460
1,23,Intercept,0.39670085395608295,Logistic Regression,normal,460
0,24,biomarker,0.5281288737142524,Logistic Regression,normal,460
1,24,Intercept,-0.3424217155189397,Logistic Regression,normal,460
0,25,biomarker,0.9910842814595279,Logistic Regression,normal,460
1,25,Intercept,-0.36315578434861684,Logistic Regression,normal,460
0,26,biomarker,-0.21014962428939257,Logistic Regression,normal,460
1,26,Intercept,0.08704565782314858,Logistic Regression,normal,460
0,27,biomarker,0.15911234176025013,Logistic Regression,normal,460
1,27,Intercept,-0.05624466298779989,Logistic Regression,normal,460
0,28,biomarker,-0.2925499691880955,Logistic Regression,normal,460
1,28,Intercept,0.12822875337758607,Logistic Regression,normal,460
0,29,biomarker,-1.9543401201813246,Logistic Regression,normal,460
1,29,Intercept,1.0770731428241578,Logistic Regression,normal,460
0,30,biomarker,0.29846863181546046,Logistic Regression,normal,460
1,30,Intercept,-0.2256626995684956,Logistic Regression,normal,460
0,31,biomarker,0.10185195613825469,Logistic Regression,normal,460
1,31,Intercept,-0.17057503811450356,Logistic Regression,normal,460
0,32,biomarker,2.8590901220556826,Logistic Regression,normal,460
1,32,Intercept,-1.650636283844888,Logistic Regression,normal,460
0,33,biomarker,2.6119855718736016,Logistic Regression,normal,460
1,33,Intercept,-1.4954419090968918,Logistic Regression,normal,460
0,34,biomarker,0.6357536994661871,Logistic Regression,normal,460
1,34,Intercept,-0.3061420049867187,Logistic Regression,normal,460
0,35,biomarker,1.2788602878726516,Logistic Regression,normal,460
