,model,metric,performance_bootstrap,value,distribution,seed
0,Logistic Regression,roc_auc,0,0.42382190331124475,normal,460
1,Logistic Regression,roc_auc,1,0.41335772483470845,normal,460
2,Logistic Regression,roc_auc,2,0.4529359640647904,normal,460
3,Logistic Regression,roc_auc,3,0.4352653795252732,normal,460
4,Logistic Regression,roc_auc,4,0.4291893920128892,normal,460
5,Logistic Regression,roc_auc,5,0.4406610985447351,normal,460
6,Logistic Regression,roc_auc,6,0.41034193642461364,normal,460
7,Logistic Regression,roc_auc,7,0.4402117842099271,normal,460
8,Logistic Regression,roc_auc,8,0.45409624863965176,normal,460
9,Logistic Regression,roc_auc,9,0.4396959041134931,normal,460
10,Logistic Regression,roc_auc,10,0.4288967871444839,normal,460
11,Logistic Regression,roc_auc,11,0.4385391191111858,normal,460
12,Logistic Regression,roc_auc,12,0.4321303454497677,normal,460
13,Logistic Regression,roc_auc,13,0.4284348262146597,normal,460
14,Logistic Regression,roc_auc,14,0.42831009182795243,normal,460
15,Logistic Regression,roc_auc,15,0.42467027027988397,normal,460
16,Logistic Regression,roc_auc,16,0.4447352847149383,normal,460
17,Logistic Regression,roc_auc,17,0.42938495214692474,normal,460
18,Logistic Regression,roc_auc,18,0.43967145052884216,normal,460
19,Logistic Regression,roc_auc,19,0.4287347343491411,normal,460
20,Logistic Regression,roc_auc,20,0.44506049820798727,normal,460
21,Logistic Regression,roc_auc,21,0.4434172121970656,normal,460
22,Logistic Regression,roc_auc,22,0.4296997717646347,normal,460
23,Logistic Regression,roc_auc,23,0.42992739744332104,normal,460
24,Logistic Regression,roc_auc,24,0.4405586994198546,normal,460
25,Logistic Regression,roc_auc,25,0.4424678300973638,normal,460
26,Logistic Regression,roc_auc,26,0.4508181261743438,normal,460
27,Logistic Regression,roc_auc,27,0.4279635282719119,normal,460
28,Logistic Regression,roc_auc,28,0.4434111346675109,normal,460
29,Logistic Regression,roc_auc,29,0.4244193075247789,normal,460
30,Logistic Regression,roc_auc,30,0.42935194299671153,normal,460
31,Logistic Regression,roc_auc,31,0.4413015955432191,normal,460
32,Logistic Regression,roc_auc,32,0.4476905902310033,normal,460
33,Logistic Regression,roc_auc,33,0.44511124180339345,normal,460
34,Logistic Regression,roc_auc,34,0.4335171458205686,normal,460
35,Logistic Regression,roc_auc,35,0.4445802035646029,normal,460
36,Logistic Regression,roc_auc,36,0.43733087218665434,normal,460
37,Logistic Regression,roc_auc,37,0.4385011854952115,normal,460
38,Logistic Regression,roc_auc,38,0.44014950456278723,normal,460
39,Logistic Regression,roc_auc,39,0.4388493175047797,normal,460
40,Logistic Regression,roc_auc,40,0.45809425700860584,normal,460
41,Logistic Regression,roc_auc,41,0.44655452848101124,normal,460
42,Logistic Regression,roc_auc,42,0.4156709420783547,normal,460
43,Logistic Regression,roc_auc,43,0.4168020743147988,normal,460
44,Logistic Regression,roc_auc,44,0.4327699031146669,normal,460
45,Logistic Regression,roc_auc,45,0.4283943994015551,normal,460
46,Logistic Regression,roc_auc,46,0.42630291132307646,normal,460
47,Logistic Regression,roc_auc,47,0.4344002407420331,normal,460
48,Logistic Regression,roc_auc,48,0.4365495757675124,normal,460
49,Logistic Regression,roc_auc,49,0.44239022559600455,normal,460
50,Logistic Regression,average_precision,0,0.4432834569583793,normal,460
51,Logistic Regression,average_precision,1,0.43716593011740323,normal,460
52,Logistic Regression,average_precision,2,0.47307763343178966,normal,460
53,Logistic Regression,average_precision,3,0.4612134887455788,normal,460
54,Logistic Regression,average_precision,4,0.4545133805220646,normal,460
55,Logistic Regression,average_precision,5,0.46452568629583013,normal,460
56,Logistic Regression,average_precision,6,0.44333081622255355,normal,460
57,Logistic Regression,average_precision,7,0.46546871919892735,normal,460
58,Logistic Regression,average_precision,8,0.471506005856785,normal,460
59,Logistic Regression,average_precision,9,0.4644121007877879,normal,460
60,Logistic Regression,average_precision,10,0.46092432595562544,normal,460
61,Logistic Regression,average_precision,11,0.4660349447789706,normal,460
62,Logistic Regression,average_precision,12,0.4606537310883242,normal,460
63,Logistic Regression,average_precision,13,0.4631721193056872,normal,460
64,Logistic Regression,average_precision,14,0.4379885485121927,normal,460
65,Logistic Regression,average_precision,15,0.4547670770088917,normal,460
66,Logistic Regression,average_precision,16,0.46913498669853393,normal,460
67,Logistic Regression,average_precision,17,0.4684112839123259,normal,460
68,Logistic Regression,average_precision,18,0.46403479951069304,normal,460
69,Logistic Regression,average_precision,19,0.47579082013451907,normal,460
70,Logistic Regression,average_precision,20,0.4577988298016196,normal,460
71,Logistic Regression,average_precision,21,0.4570453924053015,normal,460
72,Logistic Regression,average_precision,22,0.4556950274285937,normal,460
73,Logistic Regression,average_precision,23,0.46857378531023597,normal,460
74,Logistic Regression,average_precision,24,0.4745394162256996,normal,460
75,Logistic Regression,average_precision,25,0.466250306718207,normal,460
76,Logistic Regression,average_precision,26,0.4479547836816901,normal,460
77,Logistic Regression,average_precision,27,0.46637042912491866,normal,460
78,Logistic Regression,average_precision,28,0.46929672678568474,normal,460
79,Logistic Regression,average_precision,29,0.44531332671466434,normal,460
80,Logistic Regression,average_precision,30,0.4586078914787977,normal,460
81,Logistic Regression,average_precision,31,0.45892051667220096,normal,460
82,Logistic Regression,average_precision,32,0.4830640829514995,normal,460
83,Logistic Regression,average_precision,33,0.46073864837339856,normal,460
84,Logistic Regression,average_precision,34,0.4683141237554118,normal,460
85,Logistic Regression,average_precision,35,0.4623575884425403,normal,460
86,Logistic Regression,average_precision,36,0.4669250166727327,normal,460
87,Logistic Regression,average_precision,37,0.4580206213806628,normal,460
88,Logistic Regression,average_precision,38,0.46164891442717726,normal,460
89,Logistic Regression,average_precision,39,0.46116924569387374,normal,460
90,Logistic Regression,average_precision,40,0.4807693121996648,normal,460
91,Logistic Regression,average_precision,41,0.48192839664699827,normal,460
92,Logistic Regression,average_precision,42,0.4512065066508667,normal,460
93,Logistic Regression,average_precision,43,0.4368465143688018,normal,460
94,Logistic Regression,average_precision,44,0.46043193351549333,normal,460
95,Logistic Regression,average_precision,45,0.4531178869978844,normal,460
96,Logistic Regression,average_precision,46,0.4544986539606831,normal,460
97,Logistic Regression,average_precision,47,0.4431433443518139,normal,460
98,Logistic Regression,average_precision,48,0.4751178103578458,normal,460
99,Logistic Regression,average_precision,49,0.4617167887855528,normal,460
