,bootstrap,model,test_average_precision,test_roc_auc,train_average_precision,train_roc_auc,validation_average_precision,validation_roc_auc,distribution,seed
0,0,Logistic Regression,0.95,0.9375,0.7474382058009792,0.5738482384823849,1.0,1.0,normal,161
1,1,Logistic Regression,0.9666666666666666,0.95,0.8010548247120645,0.6452961672473868,0.47023809523809523,0.4318181818181818,normal,161
2,2,Logistic Regression,0.95,0.9500000000000001,0.7219897387483099,0.5854166666666667,0.9109523809523808,0.76,normal,161
3,3,Logistic Regression,0.95,0.9375,0.7773788192284036,0.6128378378378379,0.819047619047619,0.7777777777777778,normal,161
4,4,Logistic Regression,0.8928571428571428,0.85,0.7141057177757035,0.5631944444444447,0.9566666666666667,0.8800000000000001,normal,161
5,5,Logistic Regression,1.0,1.0,0.7734508196725244,0.6638888888888889,0.7767982017982017,0.46,normal,161
6,6,Logistic Regression,1.0,1.0,0.787511427905041,0.6861111111111111,0.7553696303696302,0.4,normal,161
7,7,Logistic Regression,1.0,1.0,0.7375193509866531,0.5952875952875952,0.8791666666666667,0.75,normal,161
8,8,Logistic Regression,1.0,1.0,0.7497694850419229,0.6314363143631436,0.8365384615384615,0.58,normal,161
9,9,Logistic Regression,1.0,1.0,0.7663762412346212,0.6395833333333334,0.8251748251748251,0.5800000000000001,normal,161
10,10,Logistic Regression,1.0,1.0,0.7303773595396101,0.5871621621621621,0.8989316239316241,0.7777777777777779,normal,161
11,11,Logistic Regression,1.0,1.0,0.7461390603299093,0.5828135828135828,0.8472789115646258,0.7857142857142856,normal,161
12,12,Logistic Regression,1.0,1.0,0.7334508893973539,0.6034843205574912,0.9218115218115219,0.7272727272727273,normal,161
13,13,Logistic Regression,1.0,1.0,0.7338282964285034,0.5814275814275814,0.8779541446208114,0.7592592592592593,normal,161
14,14,Logistic Regression,1.0,1.0,0.8035325300169139,0.675207756232687,0.563788592360021,0.3214285714285714,normal,161
15,15,Logistic Regression,1.0,1.0,0.7217331691165308,0.5600539811066128,0.9821428571428572,0.9821428571428571,normal,161
16,16,Logistic Regression,1.0,1.0,0.7348683841474775,0.5803324099722992,0.9260416666666667,0.8571428571428571,normal,161
17,17,Logistic Regression,0.8875,0.875,0.7612501997795927,0.6275303643724697,0.8118589743589744,0.625,normal,161
18,18,Logistic Regression,1.0,1.0,0.7198813592054985,0.5810810810810811,0.9128205128205129,0.7962962962962963,normal,161
19,19,Logistic Regression,0.8611111111111112,0.75,0.75930797852848,0.6347886347886348,0.8566544566544567,0.6666666666666666,normal,161
20,20,Logistic Regression,1.0,1.0,0.7764642390671443,0.6364265927977839,0.7910256410256411,0.6071428571428572,normal,161
21,21,Logistic Regression,0.8541666666666666,0.85,0.7232155569842209,0.5592515592515592,0.9575757575757577,0.925925925925926,normal,161
22,22,Logistic Regression,0.9111111111111112,0.8,0.7564668548803926,0.5976454293628809,0.8766233766233766,0.8571428571428571,normal,161
23,23,Logistic Regression,1.0,1.0,0.787438238818133,0.6458766458766458,0.6358058608058608,0.48148148148148145,normal,161
24,24,Logistic Regression,1.0,1.0,0.7511796793749805,0.6031855955678671,0.7886054421768707,0.6607142857142857,normal,161
25,25,Logistic Regression,1.0,1.0,0.7652533570010769,0.5921409214092141,0.8392857142857143,0.8799999999999999,normal,161
26,26,Logistic Regression,1.0,1.0,0.7712553021865501,0.6376518218623483,0.7020104895104895,0.48214285714285715,normal,161
27,27,Logistic Regression,1.0,1.0,0.7787975277940606,0.6277027027027027,0.6361111111111111,0.5740740740740741,normal,161
28,28,Logistic Regression,1.0,1.0,0.7667350685005243,0.6418918918918919,0.8010989010989011,0.5555555555555556,normal,161
29,29,Logistic Regression,1.0,1.0,0.7315086540429798,0.5883575883575884,0.907936507936508,0.7777777777777778,normal,161
30,30,Logistic Regression,1.0,1.0,0.7332808573981895,0.5782548476454293,0.888095238095238,0.8214285714285714,normal,161
31,31,Logistic Regression,1.0,1.0,0.7410176503868893,0.5876645876645876,0.9128205128205129,0.7962962962962963,normal,161
32,32,Logistic Regression,1.0,1.0,0.7558897091915757,0.6216216216216216,0.8196174196174197,0.6111111111111112,normal,161
33,33,Logistic Regression,1.0,1.0,0.7737294342730676,0.5959183673469388,0.6333333333333333,0.8333333333333334,normal,161
34,34,Logistic Regression,1.0,1.0,0.7732850349677226,0.6484480431848852,0.7389423076923076,0.5,normal,161
35,35,Logistic Regression,1.0,1.0,0.7543253404334003,0.6155405405405406,0.8488536155202824,0.7037037037037038,normal,161
36,36,Logistic Regression,1.0,1.0,0.785742696986578,0.6334026334026334,0.6953514739229025,0.5892857142857143,normal,161
37,37,Logistic Regression,1.0,1.0,0.7904445081391128,0.655195681511471,0.6828362114076401,0.5,normal,161
38,38,Logistic Regression,0.95,0.9375,0.7738952486512465,0.6329284750337382,0.7256933542647828,0.5535714285714286,normal,161
39,39,Logistic Regression,0.95,0.9375,0.7693502207302529,0.6070460704607046,0.8666666666666667,0.8,normal,161
40,40,Logistic Regression,1.0,1.0,0.7780252651391437,0.6534996534996536,0.7455433455433456,0.4629629629629629,normal,161
41,41,Logistic Regression,1.0,1.0,0.7373332750513846,0.5831024930747922,0.8649621212121212,0.7678571428571428,normal,161
42,42,Logistic Regression,0.95,0.9375,0.76863700899267,0.6459459459459459,0.8010989010989011,0.5555555555555556,normal,161
43,43,Logistic Regression,0.8875,0.9,0.7597306391147644,0.6142659279778394,0.8791666666666667,0.75,normal,161
44,44,Logistic Regression,1.0,1.0,0.7717588906668098,0.6382536382536383,0.7628272961606295,0.5185185185185185,normal,161
