,model,metric,performance_bootstrap,value,distribution,seed
0,Logistic Regression,roc_auc,0,0.8598706713315819,normal,176
1,Logistic Regression,roc_auc,1,0.8528547150797111,normal,176
2,Logistic Regression,roc_auc,2,0.8636386060616027,normal,176
3,Logistic Regression,roc_auc,3,0.8641661451814768,normal,176
4,Logistic Regression,roc_auc,4,0.8579999252567964,normal,176
5,Logistic Regression,roc_auc,5,0.8583586131527385,normal,176
6,Logistic Regression,roc_auc,6,0.8499566209883304,normal,176
7,Logistic Regression,roc_auc,7,0.8676351039322558,normal,176
8,Logistic Regression,roc_auc,8,0.8567914295874822,normal,176
9,Logistic Regression,roc_auc,9,0.8570767577110072,normal,176
10,Logistic Regression,roc_auc,10,0.8678335093081412,normal,176
11,Logistic Regression,roc_auc,11,0.8617348653064273,normal,176
12,Logistic Regression,roc_auc,12,0.8718147511125949,normal,176
13,Logistic Regression,roc_auc,13,0.8666718519094657,normal,176
14,Logistic Regression,roc_auc,14,0.8664732436707524,normal,176
15,Logistic Regression,roc_auc,15,0.874400826675852,normal,176
16,Logistic Regression,roc_auc,16,0.8651179016916329,normal,176
17,Logistic Regression,roc_auc,17,0.8615198257467994,normal,176
18,Logistic Regression,roc_auc,18,0.8760687883782338,normal,176
19,Logistic Regression,roc_auc,19,0.8657677965220197,normal,176
20,Logistic Regression,roc_auc,20,0.8659404995482956,normal,176
21,Logistic Regression,roc_auc,21,0.8734673528193947,normal,176
22,Logistic Regression,roc_auc,22,0.8690646842462024,normal,176
23,Logistic Regression,roc_auc,23,0.8662671960319843,normal,176
24,Logistic Regression,roc_auc,24,0.8593732221084371,normal,176
25,Logistic Regression,roc_auc,25,0.8610628587074796,normal,176
26,Logistic Regression,roc_auc,26,0.8764531539098013,normal,176
27,Logistic Regression,roc_auc,27,0.8560167408129766,normal,176
28,Logistic Regression,roc_auc,28,0.8767817293491398,normal,176
29,Logistic Regression,roc_auc,29,0.8682831693802503,normal,176
30,Logistic Regression,roc_auc,30,0.8596386739020188,normal,176
31,Logistic Regression,roc_auc,31,0.862177260603604,normal,176
32,Logistic Regression,roc_auc,32,0.876048836858765,normal,176
33,Logistic Regression,roc_auc,33,0.8678866453521783,normal,176
34,Logistic Regression,roc_auc,34,0.8549891150461366,normal,176
35,Logistic Regression,roc_auc,35,0.8624875466998755,normal,176
36,Logistic Regression,roc_auc,36,0.8569545457176067,normal,176
37,Logistic Regression,roc_auc,37,0.8626612722938989,normal,176
38,Logistic Regression,roc_auc,38,0.8562825130052022,normal,176
39,Logistic Regression,roc_auc,39,0.8512780717789538,normal,176
40,Logistic Regression,roc_auc,40,0.8739371807423851,normal,176
41,Logistic Regression,roc_auc,41,0.8754510894373844,normal,176
42,Logistic Regression,roc_auc,42,0.8573615895264532,normal,176
43,Logistic Regression,roc_auc,43,0.8724825499487704,normal,176
44,Logistic Regression,roc_auc,44,0.850739544376443,normal,176
45,Logistic Regression,roc_auc,45,0.8560075202721249,normal,176
46,Logistic Regression,roc_auc,46,0.8731868083025912,normal,176
47,Logistic Regression,roc_auc,47,0.8593919939694534,normal,176
48,Logistic Regression,roc_auc,48,0.8707919700762317,normal,176
49,Logistic Regression,roc_auc,49,0.8635892727063434,normal,176
50,Logistic Regression,average_precision,0,0.7406912364119541,normal,176
51,Logistic Regression,average_precision,1,0.7305262366956019,normal,176
52,Logistic Regression,average_precision,2,0.7364827052961311,normal,176
53,Logistic Regression,average_precision,3,0.738729928735067,normal,176
54,Logistic Regression,average_precision,4,0.7418940192331753,normal,176
55,Logistic Regression,average_precision,5,0.7402308393403506,normal,176
56,Logistic Regression,average_precision,6,0.7224613262961672,normal,176
57,Logistic Regression,average_precision,7,0.7482437508137327,normal,176
58,Logistic Regression,average_precision,8,0.7237050266868824,normal,176
59,Logistic Regression,average_precision,9,0.7193582239305665,normal,176
60,Logistic Regression,average_precision,10,0.7507916333589191,normal,176
61,Logistic Regression,average_precision,11,0.7378001314982388,normal,176
62,Logistic Regression,average_precision,12,0.7471276639873037,normal,176
63,Logistic Regression,average_precision,13,0.7423388420473768,normal,176
64,Logistic Regression,average_precision,14,0.7454280736661831,normal,176
65,Logistic Regression,average_precision,15,0.7525263065049567,normal,176
66,Logistic Regression,average_precision,16,0.7519979886087986,normal,176
67,Logistic Regression,average_precision,17,0.7370807984930048,normal,176
68,Logistic Regression,average_precision,18,0.758471684916605,normal,176
69,Logistic Regression,average_precision,19,0.7354442052898643,normal,176
70,Logistic Regression,average_precision,20,0.7541029041345944,normal,176
71,Logistic Regression,average_precision,21,0.76043650120125,normal,176
72,Logistic Regression,average_precision,22,0.7506386376640257,normal,176
73,Logistic Regression,average_precision,23,0.7565905357515095,normal,176
74,Logistic Regression,average_precision,24,0.7323745826935841,normal,176
75,Logistic Regression,average_precision,25,0.7397200362571681,normal,176
76,Logistic Regression,average_precision,26,0.7672731833199256,normal,176
77,Logistic Regression,average_precision,27,0.730329020882438,normal,176
78,Logistic Regression,average_precision,28,0.7559531285956806,normal,176
79,Logistic Regression,average_precision,29,0.7394980169051796,normal,176
80,Logistic Regression,average_precision,30,0.7388879702671118,normal,176
81,Logistic Regression,average_precision,31,0.7370214147003129,normal,176
82,Logistic Regression,average_precision,32,0.7636709714955469,normal,176
83,Logistic Regression,average_precision,33,0.7510000903581369,normal,176
84,Logistic Regression,average_precision,34,0.7344059794375206,normal,176
85,Logistic Regression,average_precision,35,0.7454367232762733,normal,176
86,Logistic Regression,average_precision,36,0.7450171855660734,normal,176
87,Logistic Regression,average_precision,37,0.7398970431552145,normal,176
88,Logistic Regression,average_precision,38,0.7360136617415317,normal,176
89,Logistic Regression,average_precision,39,0.7196459696555915,normal,176
90,Logistic Regression,average_precision,40,0.7644805827407226,normal,176
91,Logistic Regression,average_precision,41,0.7584432503072881,normal,176
92,Logistic Regression,average_precision,42,0.721683519380182,normal,176
93,Logistic Regression,average_precision,43,0.7599552533806058,normal,176
94,Logistic Regression,average_precision,44,0.7362047848848462,normal,176
95,Logistic Regression,average_precision,45,0.7396989807544718,normal,176
96,Logistic Regression,average_precision,46,0.7571564729512277,normal,176
97,Logistic Regression,average_precision,47,0.7353391838654714,normal,176
98,Logistic Regression,average_precision,48,0.7485051063920927,normal,176
99,Logistic Regression,average_precision,49,0.7400396677437102,normal,176
