,bootstrap,feature,importance,model,distribution,seed
0,0,biomarker,-2.0918820055616223,Logistic Regression,normal,266
1,0,Intercept,1.106248501023506,Logistic Regression,normal,266
0,1,biomarker,-2.7686997786537635,Logistic Regression,normal,266
1,1,Intercept,1.6032703673546902,Logistic Regression,normal,266
0,2,biomarker,-2.885798962940328,Logistic Regression,normal,266
1,2,Intercept,1.4805178289560972,Logistic Regression,normal,266
0,3,biomarker,-2.8634352498647324,Logistic Regression,normal,266
1,3,Intercept,1.526500955085847,Logistic Regression,normal,266
0,4,biomarker,-2.4517807824402946,Logistic Regression,normal,266
1,4,Intercept,1.1471431786213537,Logistic Regression,normal,266
0,5,biomarker,-2.3366740859449573,Logistic Regression,normal,266
1,5,Intercept,1.0953467236034837,Logistic Regression,normal,266
0,6,biomarker,-2.931238070172646,Logistic Regression,normal,266
1,6,Intercept,1.488674228201726,Logistic Regression,normal,266
0,7,biomarker,-2.4419201294069146,Logistic Regression,normal,266
1,7,Intercept,1.2225568355481657,Logistic Regression,normal,266
0,8,biomarker,-2.255966899364482,Logistic Regression,normal,266
1,8,Intercept,1.060865588997308,Logistic Regression,normal,266
0,9,biomarker,-3.050216329049697,Logistic Regression,normal,266
1,9,Intercept,1.4614664573302556,Logistic Regression,normal,266
0,10,biomarker,-2.876695508675154,Logistic Regression,normal,266
1,10,Intercept,1.4069957377349465,Logistic Regression,normal,266
0,11,biomarker,-2.975904785470526,Logistic Regression,normal,266
1,11,Intercept,1.6297321452976383,Logistic Regression,normal,266
0,12,biomarker,-2.6117328656198424,Logistic Regression,normal,266
1,12,Intercept,1.0379263863672725,Logistic Regression,normal,266
0,13,biomarker,-3.419288346392391,Logistic Regression,normal,266
1,13,Intercept,1.647765856697927,Logistic Regression,normal,266
0,14,biomarker,-2.0566898366508557,Logistic Regression,normal,266
1,14,Intercept,1.0887489242987236,Logistic Regression,normal,266
0,15,biomarker,-2.4370774163970745,Logistic Regression,normal,266
1,15,Intercept,1.2650384593902075,Logistic Regression,normal,266
0,16,biomarker,-2.5065494906454364,Logistic Regression,normal,266
1,16,Intercept,1.1100352619735567,Logistic Regression,normal,266
0,17,biomarker,-2.2805596426125474,Logistic Regression,normal,266
1,17,Intercept,1.1480205829586252,Logistic Regression,normal,266
0,18,biomarker,-3.2124539629812294,Logistic Regression,normal,266
1,18,Intercept,1.5745235979092276,Logistic Regression,normal,266
0,19,biomarker,-2.8443781617143085,Logistic Regression,normal,266
