,bootstrap,model,test_average_precision,test_roc_auc,train_average_precision,train_roc_auc,validation_average_precision,validation_roc_auc,distribution,seed
0,0,Logistic Regression,1.0,1.0,0.8031505605214929,0.7895833333333333,0.6976190476190476,0.8,normal,41
1,1,Logistic Regression,0.95,0.9375,0.7611321551544425,0.7591836734693878,1.0,1.0,normal,41
2,2,Logistic Regression,1.0,1.0,0.7849563580191206,0.8035230352303523,0.7876479076479076,0.66,normal,41
3,3,Logistic Regression,1.0,1.0,0.8337457010476719,0.8416666666666667,0.5344627594627595,0.5185185185185185,normal,41
4,4,Logistic Regression,1.0,1.0,0.7977883318673215,0.8159722222222222,0.7864926739926739,0.56,normal,41
5,5,Logistic Regression,1.0,1.0,0.7490398457550843,0.7784552845528455,0.9068650793650793,0.8200000000000001,normal,41
6,6,Logistic Regression,1.0,1.0,0.7181435022349688,0.755420054200542,0.9769230769230769,0.9400000000000001,normal,41
7,7,Logistic Regression,1.0,1.0,0.7839569493563235,0.78601108033241,0.8158119658119658,0.7857142857142857,normal,41
8,8,Logistic Regression,1.0,1.0,0.7512860639669575,0.7710027100271003,0.932651515151515,0.86,normal,41
9,9,Logistic Regression,1.0,1.0,0.7530669074000818,0.7743055555555556,0.9833333333333333,0.96,normal,41
10,10,Logistic Regression,1.0,1.0,0.7830208597149761,0.7907137907137907,0.8582722832722833,0.7777777777777778,normal,41
11,11,Logistic Regression,0.9666666666666666,0.95,0.8283003496808867,0.8220221606648199,0.555988455988456,0.6428571428571428,normal,41
12,12,Logistic Regression,1.0,1.0,0.7496028300125636,0.7965156794425088,0.9008463758463761,0.75,normal,41
13,13,Logistic Regression,1.0,1.0,0.7873888954477808,0.7983367983367984,0.7879527879527881,0.6666666666666666,normal,41
14,14,Logistic Regression,1.0,1.0,0.7617663022469793,0.7645074224021592,0.9617346938775511,0.9642857142857143,normal,41
15,15,Logistic Regression,1.0,1.0,0.7678810496696518,0.7793522267206477,0.8885281385281385,0.875,normal,41
16,16,Logistic Regression,1.0,1.0,0.7255763486291057,0.7462887989203779,0.959375,0.9464285714285714,normal,41
17,17,Logistic Regression,1.0,1.0,0.7634088167031794,0.7881241565452093,0.8452380952380952,0.7857142857142858,normal,41
18,18,Logistic Regression,1.0,1.0,0.7943927989293248,0.8108108108108109,0.7492784992784993,0.6111111111111112,normal,41
19,19,Logistic Regression,1.0,1.0,0.7276792910368481,0.75,0.9060405643738978,0.888888888888889,normal,41
20,20,Logistic Regression,1.0,1.0,0.7737956354328243,0.7894736842105263,0.8461670274170274,0.8214285714285714,normal,41
21,21,Logistic Regression,1.0,1.0,0.7886471090073224,0.8040540540540541,0.8436387686387687,0.7962962962962963,normal,41
22,22,Logistic Regression,1.0,1.0,0.7761818992115053,0.7873961218836565,0.8687074829931971,0.8571428571428572,normal,41
23,23,Logistic Regression,1.0,1.0,0.801875903735508,0.7886347886347886,0.6746031746031745,0.8333333333333334,normal,41
24,24,Logistic Regression,0.95,0.9375,0.7640751848883389,0.7645074224021592,0.9617346938775511,0.9642857142857143,normal,41
25,25,Logistic Regression,1.0,1.0,0.8186340342097066,0.8027777777777778,0.7433333333333334,0.8400000000000001,normal,41
26,26,Logistic Regression,1.0,1.0,0.7719543524925121,0.7839335180055402,0.9381313131313131,0.9107142857142857,normal,41
27,27,Logistic Regression,1.0,1.0,0.8048076232248215,0.7955647955647955,0.6551587301587302,0.7777777777777778,normal,41
28,28,Logistic Regression,0.95,0.9375,0.7293857970136872,0.754054054054054,1.0,1.0,normal,41
29,29,Logistic Regression,1.0,1.0,0.7395644934659786,0.7692307692307692,0.9121572871572874,0.8518518518518519,normal,41
30,30,Logistic Regression,1.0,1.0,0.7689224187189874,0.786774628879892,0.8357142857142856,0.7857142857142857,normal,41
31,31,Logistic Regression,0.95,0.9500000000000001,0.7099439430466754,0.7595287595287595,0.9598765432098768,0.9259259259259259,normal,41
32,32,Logistic Regression,1.0,1.0,0.7644442407705707,0.7754677754677755,0.9253086419753087,0.8703703703703703,normal,41
33,33,Logistic Regression,1.0,1.0,0.7862285013129611,0.7485994397759104,0.6984126984126984,0.8611111111111112,normal,41
34,34,Logistic Regression,1.0,1.0,0.7782017572158111,0.7881241565452092,0.8470619658119658,0.8035714285714286,normal,41
35,35,Logistic Regression,1.0,1.0,0.7663749345376636,0.7844767844767846,0.8984928651595321,0.8518518518518519,normal,41
36,36,Logistic Regression,0.95,0.9500000000000001,0.7942913728890795,0.7844767844767845,0.9004329004329004,0.875,normal,41
37,37,Logistic Regression,0.95,0.9375,0.7952207584919392,0.7975708502024291,0.7857142857142858,0.8392857142857142,normal,41
38,38,Logistic Regression,1.0,1.0,0.7758227732541447,0.7636867636867636,0.8857142857142857,0.875,normal,41
39,39,Logistic Regression,1.0,1.0,0.8014812832616368,0.7859078590785908,0.7595238095238095,0.88,normal,41
40,40,Logistic Regression,1.0,1.0,0.7266011604145866,0.75,0.9674523007856342,0.9444444444444445,normal,41
41,41,Logistic Regression,1.0,1.0,0.7810558100232841,0.7908232118758434,0.7656746031746031,0.7857142857142857,normal,41
42,42,Logistic Regression,1.0,1.0,0.7432782904702502,0.7668918918918919,0.8643658810325479,0.8148148148148149,normal,41
43,43,Logistic Regression,1.0,1.0,0.7722927922742674,0.7840755735492577,0.8507326007326007,0.8035714285714286,normal,41
44,44,Logistic Regression,1.0,1.0,0.7640058106602619,0.7768537768537769,0.8233605900272567,0.7777777777777779,normal,41
45,45,Logistic Regression,1.0,1.0,0.7561832177326095,0.7721606648199446,0.9682539682539681,0.9642857142857143,normal,41
46,46,Logistic Regression,1.0,1.0,0.7628704995067148,0.7865557865557865,0.9062881562881563,0.8571428571428571,normal,41
47,47,Logistic Regression,1.0,1.0,0.7383530309310803,0.7449392712550608,0.9617346938775511,0.9642857142857143,normal,41
48,48,Logistic Regression,1.0,1.0,0.7599754831791088,0.7736111111111111,0.8392857142857143,0.8799999999999999,normal,41
49,49,Logistic Regression,1.0,1.0,0.8062972731310732,0.8128898128898129,0.7396214896214897,0.6481481481481481,normal,41
50,50,Logistic Regression,1.0,1.0,0.7852378997433076,0.8070175438596491,0.7878787878787878,0.7142857142857142,normal,41
51,51,Logistic Regression,1.0,1.0,0.7700789586108336,0.7743243243243243,0.8069444444444444,0.8518518518518519,normal,41
52,52,Logistic Regression,1.0,1.0,0.7943156296638165,0.7878378378378378,0.8085457752124419,0.7592592592592593,normal,41
53,53,Logistic Regression,1.0,1.0,0.7945844392836086,0.7777777777777778,0.8761904761904762,0.92,normal,41
54,54,Logistic Regression,1.0,1.0,0.7135704266033069,0.7533783783783784,0.9598765432098768,0.9259259259259259,normal,41
55,55,Logistic Regression,1.0,1.0,0.7973463145159777,0.8205128205128205,0.7500728438228438,0.625,normal,41
56,56,Logistic Regression,1.0,1.0,0.7269070697998465,0.7375168690958165,0.9999999999999998,1.0,normal,41
57,57,Logistic Regression,1.0,1.0,0.8230653874064119,0.8232118758434548,0.7207656926406927,0.6428571428571429,normal,41
58,58,Logistic Regression,1.0,1.0,0.7653816788662371,0.7783933518005539,0.8319727891156461,0.8392857142857142,normal,41
59,59,Logistic Regression,1.0,1.0,0.7795180986276956,0.7840755735492578,0.8677780552780553,0.8035714285714286,normal,41
60,60,Logistic Regression,1.0,1.0,0.7841211304000889,0.7975708502024292,0.860454822954823,0.8214285714285714,normal,41
61,61,Logistic Regression,1.0,1.0,0.8103766843842067,0.800944669365722,0.7329931972789114,0.7678571428571428,normal,41
62,62,Logistic Regression,1.0,1.0,0.8151902187042734,0.7965156794425088,0.7041666666666666,0.8181818181818181,normal,41
63,63,Logistic Regression,1.0,1.0,0.8075833546112718,0.7750677506775069,0.6683333333333333,0.86,normal,41
64,64,Logistic Regression,1.0,1.0,0.7894807418073005,0.7807017543859649,0.6427579365079366,0.7142857142857143,normal,41
65,65,Logistic Regression,1.0,1.0,0.7629941768421882,0.7825484764542936,0.7834776334776334,0.7321428571428571,normal,41
66,66,Logistic Regression,1.0,1.0,0.7654260735911222,0.7951388888888888,0.8872285122285124,0.8148148148148149,normal,41
67,67,Logistic Regression,1.0,1.0,0.8181306586345914,0.8130193905817173,0.6185374149659864,0.7142857142857143,normal,41
68,68,Logistic Regression,1.0,1.0,0.786452293655342,0.8056680161943319,0.804112554112554,0.7321428571428571,normal,41
69,69,Logistic Regression,1.0,1.0,0.7881752232212487,0.8063427800269904,0.704421768707483,0.7678571428571428,normal,41
70,70,Logistic Regression,1.0,1.0,0.7373646421386105,0.7387387387387387,0.9444444444444444,0.9444444444444445,normal,41
71,71,Logistic Regression,1.0,1.0,0.7492653628736765,0.7581427581427582,0.9166666666666666,0.925925925925926,normal,41
72,72,Logistic Regression,1.0,1.0,0.8127331645467036,0.8094594594594595,0.6111111111111112,0.6481481481481481,normal,41
73,73,Logistic Regression,1.0,1.0,0.7677382914982904,0.7839335180055402,0.7981351981351982,0.75,normal,41
