,bootstrap,feature,importance,model,distribution,seed
0,0,biomarker,0.24581005671939574,Logistic Regression,t,23
1,0,Intercept,-0.10074674157377389,Logistic Regression,t,23
0,1,biomarker,-2.2887574450721977,Logistic Regression,t,23
1,1,Intercept,1.103952526536685,Logistic Regression,t,23
0,2,biomarker,0.9686839134931408,Logistic Regression,t,23
1,2,Intercept,-0.4301362516508694,Logistic Regression,t,23
0,3,biomarker,1.4409537261643137,Logistic Regression,t,23
1,3,Intercept,-0.7092486580473539,Logistic Regression,t,23
0,4,biomarker,-1.1122055161181943,Logistic Regression,t,23
1,4,Intercept,0.48689819593349726,Logistic Regression,t,23
0,5,biomarker,0.054763140080986726,Logistic Regression,t,23
1,5,Intercept,0.23322164253656813,Logistic Regression,t,23
0,6,biomarker,2.5925947251687766,Logistic Regression,t,23
1,6,Intercept,-1.2185798062300246,Logistic Regression,t,23
0,7,biomarker,0.11511352390523039,Logistic Regression,t,23
1,7,Intercept,-0.19163385292906454,Logistic Regression,t,23
0,8,biomarker,1.0805941804004235,Logistic Regression,t,23
1,8,Intercept,-0.7052394781596053,Logistic Regression,t,23
0,9,biomarker,1.6977611534665986,Logistic Regression,t,23
1,9,Intercept,-0.8166570169156646,Logistic Regression,t,23
0,10,biomarker,1.2188221638141692,Logistic Regression,t,23
1,10,Intercept,-0.6769683064991179,Logistic Regression,t,23
0,11,biomarker,-0.35498125856613516,Logistic Regression,t,23
1,11,Intercept,0.26310883374427924,Logistic Regression,t,23
0,12,biomarker,1.120765568621651,Logistic Regression,t,23
1,12,Intercept,-0.5767868391793197,Logistic Regression,t,23
0,13,biomarker,-0.3957876118043304,Logistic Regression,t,23
1,13,Intercept,0.07538913039960471,Logistic Regression,t,23
0,14,biomarker,0.8844773419416293,Logistic Regression,t,23
1,14,Intercept,-0.4941260736060833,Logistic Regression,t,23
0,15,biomarker,-2.838707928455112,Logistic Regression,t,23
1,15,Intercept,1.3514762288407134,Logistic Regression,t,23
0,16,biomarker,1.254899425062587,Logistic Regression,t,23
1,16,Intercept,-0.6144425230396112,Logistic Regression,t,23
0,17,biomarker,2.0002126611139404,Logistic Regression,t,23
1,17,Intercept,-0.9749632528804575,Logistic Regression,t,23
0,18,biomarker,-1.0837947495581337,Logistic Regression,t,23
1,18,Intercept,0.5062467708151741,Logistic Regression,t,23
0,19,biomarker,1.3097775481909215,Logistic Regression,t,23
1,19,Intercept,-0.7236206006133378,Logistic Regression,t,23
0,20,biomarker,1.0762756572582715,Logistic Regression,t,23
1,20,Intercept,-0.7132582579052535,Logistic Regression,t,23
0,21,biomarker,-0.7501969725744146,Logistic Regression,t,23
1,21,Intercept,0.30373649720347,Logistic Regression,t,23
0,22,biomarker,-0.7793375867627834,Logistic Regression,t,23
1,22,Intercept,0.47921291821451356,Logistic Regression,t,23
0,23,biomarker,-1.6127545521544964,Logistic Regression,t,23
1,23,Intercept,0.9164151689803127,Logistic Regression,t,23
0,24,biomarker,-1.233567167742705,Logistic Regression,t,23
1,24,Intercept,0.5479154116462981,Logistic Regression,t,23
0,25,biomarker,-1.4009248130980754,Logistic Regression,t,23
1,25,Intercept,0.8855547470347265,Logistic Regression,t,23
0,26,biomarker,2.057008067978246,Logistic Regression,t,23
1,26,Intercept,-1.0573571309155438,Logistic Regression,t,23
0,27,biomarker,-0.5249146390254741,Logistic Regression,t,23
1,27,Intercept,0.28587167913648803,Logistic Regression,t,23
0,28,biomarker,1.9184091104701921,Logistic Regression,t,23
1,28,Intercept,-0.9804828445910648,Logistic Regression,t,23
0,29,biomarker,0.05725096836320451,Logistic Regression,t,23
1,29,Intercept,0.042066401184358705,Logistic Regression,t,23
0,30,biomarker,0.9716077628292638,Logistic Regression,t,23
1,30,Intercept,-0.5603626285983777,Logistic Regression,t,23
0,31,biomarker,1.2577352729352695,Logistic Regression,t,23
1,31,Intercept,-0.7540665358563826,Logistic Regression,t,23
0,32,biomarker,1.3742058926139291,Logistic Regression,t,23
1,32,Intercept,-0.7477618551233701,Logistic Regression,t,23
0,33,biomarker,-2.207709932693339,Logistic Regression,t,23
1,33,Intercept,1.142652948293907,Logistic Regression,t,23
0,34,biomarker,1.8542991968882039,Logistic Regression,t,23
1,34,Intercept,-0.8903939289664371,Logistic Regression,t,23
0,35,biomarker,0.06613817347713245,Logistic Regression,t,23
1,35,Intercept,-0.14587178395878922,Logistic Regression,t,23
0,36,biomarker,-0.19094320399592238,Logistic Regression,t,23
1,36,Intercept,0.07171524028086503,Logistic Regression,t,23
0,37,biomarker,-0.5574379117617931,Logistic Regression,t,23
