,model,metric,performance_bootstrap,value,distribution,seed
0,Logistic Regression,roc_auc,0,0.4486903517922519,t,268
1,Logistic Regression,roc_auc,1,0.43708299332789324,t,268
2,Logistic Regression,roc_auc,2,0.43348647205466573,t,268
3,Logistic Regression,roc_auc,3,0.4437173589765483,t,268
4,Logistic Regression,roc_auc,4,0.4342180139455232,t,268
5,Logistic Regression,roc_auc,5,0.44656776442319446,t,268
6,Logistic Regression,roc_auc,6,0.44012778382377,t,268
7,Logistic Regression,roc_auc,7,0.4563139479451275,t,268
8,Logistic Regression,roc_auc,8,0.43945472263121577,t,268
9,Logistic Regression,roc_auc,9,0.4568849956806077,t,268
10,Logistic Regression,roc_auc,10,0.45022385725111924,t,268
11,Logistic Regression,roc_auc,11,0.4477542374200515,t,268
12,Logistic Regression,roc_auc,12,0.44049436225872474,t,268
13,Logistic Regression,roc_auc,13,0.4384815513400157,t,268
14,Logistic Regression,roc_auc,14,0.44029138126026934,t,268
15,Logistic Regression,roc_auc,15,0.4376727126563834,t,268
16,Logistic Regression,roc_auc,16,0.4384330373995293,t,268
17,Logistic Regression,roc_auc,17,0.4387820171939101,t,268
18,Logistic Regression,roc_auc,18,0.4402561135073154,t,268
19,Logistic Regression,roc_auc,19,0.4474436276607887,t,268
20,Logistic Regression,roc_auc,20,0.4397857940323131,t,268
21,Logistic Regression,roc_auc,21,0.42868533581397994,t,268
22,Logistic Regression,roc_auc,22,0.4501319958230971,t,268
23,Logistic Regression,roc_auc,23,0.4475484388223242,t,268
24,Logistic Regression,roc_auc,24,0.45225912922974437,t,268
25,Logistic Regression,roc_auc,25,0.44620927162216023,t,268
26,Logistic Regression,roc_auc,26,0.46236939873597904,t,268
27,Logistic Regression,roc_auc,27,0.45134609493549144,t,268
28,Logistic Regression,roc_auc,28,0.436102919728801,t,268
29,Logistic Regression,roc_auc,29,0.43648562158318144,t,268
30,Logistic Regression,roc_auc,30,0.4148880568965341,t,268
31,Logistic Regression,roc_auc,31,0.43973681449698515,t,268
32,Logistic Regression,roc_auc,32,0.4556507081203983,t,268
33,Logistic Regression,roc_auc,33,0.44447067180722977,t,268
34,Logistic Regression,roc_auc,34,0.44661762330587496,t,268
35,Logistic Regression,roc_auc,35,0.447085203786835,t,268
36,Logistic Regression,roc_auc,36,0.4445367572226838,t,268
37,Logistic Regression,roc_auc,37,0.44232286816484095,t,268
38,Logistic Regression,roc_auc,38,0.4504373884082849,t,268
39,Logistic Regression,roc_auc,39,0.44223022542350277,t,268
40,Logistic Regression,roc_auc,40,0.4360592037490726,t,268
41,Logistic Regression,roc_auc,41,0.4444156849712051,t,268
42,Logistic Regression,roc_auc,42,0.4422165272110826,t,268
43,Logistic Regression,roc_auc,43,0.41935496774216485,t,268
44,Logistic Regression,roc_auc,44,0.4557279206561237,t,268
45,Logistic Regression,roc_auc,45,0.4523317529183303,t,268
46,Logistic Regression,roc_auc,46,0.45934692614642686,t,268
47,Logistic Regression,roc_auc,47,0.452623470303519,t,268
48,Logistic Regression,roc_auc,48,0.44462656670189316,t,268
49,Logistic Regression,roc_auc,49,0.4618750933758297,t,268
50,Logistic Regression,average_precision,0,0.47167394598242,t,268
51,Logistic Regression,average_precision,1,0.4617479927470724,t,268
52,Logistic Regression,average_precision,2,0.4764031237936923,t,268
53,Logistic Regression,average_precision,3,0.47905700336155016,t,268
