,bootstrap,model,test_average_precision,test_roc_auc,train_average_precision,train_roc_auc,validation_average_precision,validation_roc_auc,distribution,seed
0,0,Logistic Regression,0.775,0.7,0.5535085393771271,0.5204435204435205,0.42915893630179347,0.3214285714285714,t,34
1,1,Logistic Regression,0.8875,0.875,0.56772451167814,0.5459459459459459,0.7903337403337405,0.5925925925925926,t,34
2,2,Logistic Regression,0.95,0.9375,0.5749674988811514,0.543859649122807,0.4562229437229437,0.26785714285714285,t,34
3,3,Logistic Regression,0.7095238095238094,0.7000000000000001,0.5413097901001611,0.49549549549549543,0.4469387755102041,0.4285714285714286,t,34
4,4,Logistic Regression,0.8303571428571428,0.75,0.49607972250229604,0.5161943319838057,0.6850649350649352,0.6071428571428571,t,34
5,5,Logistic Regression,1.0,1.0,0.5758525148058784,0.5199724517906337,0.29166666666666663,0.6923076923076923,t,34
6,6,Logistic Regression,0.95,0.9375,0.5479037176511146,0.5175675675675675,0.530952380952381,0.48148148148148145,t,34
7,7,Logistic Regression,0.6916666666666667,0.625,0.4961006777946918,0.4871273712737128,0.5983494283494284,0.29999999999999993,t,34
8,8,Logistic Regression,0.6361111111111111,0.5499999999999999,0.48322628219244,0.5017421602787456,0.7663947163947163,0.5227272727272727,t,34
9,9,Logistic Regression,0.8528571428571428,0.8,0.5443272632710672,0.5242382271468145,0.40927128427128434,0.3571428571428571,t,34
10,10,Logistic Regression,0.6791666666666667,0.75,0.53173321094596,0.522972972972973,0.88658810325477,0.8333333333333334,t,34
11,11,Logistic Regression,0.5845238095238094,0.5625,0.5442711847966412,0.5202702702702702,0.37063492063492065,0.35185185185185186,t,34
12,12,Logistic Regression,0.8611111111111112,0.75,0.5341468079153312,0.5228531855955679,0.5874323593073593,0.5535714285714286,t,34
13,13,Logistic Regression,0.8928571428571428,0.8125,0.5111443779266698,0.5508130081300814,0.6588736263736265,0.4,t,34
14,14,Logistic Regression,0.8875,0.875,0.5018001597499779,0.5237127371273713,0.6414807414807414,0.26,t,34
15,15,Logistic Regression,0.95,0.9375,0.5663394192321353,0.595945945945946,0.6541144041144042,0.4074074074074074,t,34
16,16,Logistic Regression,0.8541666666666666,0.8125,0.597414668205144,0.5445344129554656,0.7379208093493808,0.6607142857142857,t,34
17,17,Logistic Regression,0.95,0.9375,0.5458208653351085,0.534412955465587,0.8120490620490619,0.75,t,34
18,18,Logistic Regression,0.8041666666666667,0.8125,0.533505836056374,0.5006747638326585,0.49495920745920746,0.37500000000000006,t,34
19,19,Logistic Regression,0.6916666666666667,0.7,0.5196895891641531,0.5176715176715176,0.6635161135161136,0.4074074074074074,t,34
20,20,Logistic Regression,0.9166666666666666,0.875,0.5222499647195952,0.4932523616734143,0.4674873737373738,0.35714285714285715,t,34
21,21,Logistic Regression,0.95,0.9375,0.5348896916565264,0.5418918918918919,0.7941798941798943,0.6481481481481481,t,34
