,bootstrap,model,test_average_precision,test_roc_auc,train_average_precision,train_roc_auc,validation_average_precision,validation_roc_auc,distribution,seed
0,0,Logistic Regression,0.7861904761904761,0.75,0.5566939312174549,0.5159279778393352,0.5585937871652158,0.39285714285714285,t,488
1,1,Logistic Regression,0.9166666666666666,0.9,0.49499241001493766,0.5336105336105337,0.6153679653679653,0.3703703703703704,t,488
2,2,Logistic Regression,1.0,1.0,0.5421993111439539,0.5931174089068826,0.5122211122211122,0.3928571428571429,t,488
3,3,Logistic Regression,0.8541666666666666,0.8125,0.5336604469674738,0.5107962213225371,0.6025553811268097,0.44642857142857145,t,488
4,4,Logistic Regression,0.875,0.75,0.5544948186310614,0.48043184885290147,0.48653885796742935,0.5357142857142857,t,488
5,5,Logistic Regression,1.0,1.0,0.63319439086886,0.5447658402203857,0.6666666666666666,0.8461538461538461,t,488
6,6,Logistic Regression,0.95,0.9375,0.5874849319295257,0.5682432432432432,0.49427609427609426,0.5370370370370371,t,488
7,7,Logistic Regression,0.6215277777777778,0.45,0.47287542511378233,0.5,0.6009251859251858,0.22,t,488
8,8,Logistic Regression,0.6678571428571428,0.5625,0.5193947071368029,0.5020408163265306,0.860947385947386,0.6590909090909092,t,488
9,9,Logistic Regression,0.8766666666666667,0.85,0.6063315628015449,0.6080332409972299,0.47806122448979593,0.5,t,488
10,10,Logistic Regression,0.6458333333333333,0.75,0.5007117147174522,0.49133749133749133,0.7863235529902197,0.7592592592592593,t,488
11,11,Logistic Regression,0.9028571428571428,0.85,0.5287937900892081,0.498960498960499,0.5945767195767196,0.6851851851851852,t,488
12,12,Logistic Regression,0.5238095238095237,0.5,0.5048150098243562,0.48545706371191144,0.7168154761904761,0.6428571428571429,t,488
13,13,Logistic Regression,0.4583333333333333,0.44999999999999996,0.4870981952904006,0.5180555555555556,0.624047619047619,0.42000000000000004,t,488
14,14,Logistic Regression,0.5666666666666667,0.6,0.5151177651560191,0.5041666666666667,0.7530006105006105,0.66,t,488
15,15,Logistic Regression,0.8875,0.875,0.5673139267865654,0.5797297297297297,0.5262071262071263,0.2777777777777778,t,488
16,16,Logistic Regression,0.9166666666666666,0.875,0.5532259728286221,0.5161943319838056,0.5942390942390943,0.5357142857142857,t,488
17,17,Logistic Regression,0.8541666666666666,0.8125,0.5232421800004077,0.5182186234817814,0.5338744588744588,0.5714285714285714,t,488
18,18,Logistic Regression,0.6220238095238095,0.625,0.4838021981146194,0.5,0.7667929292929293,0.5892857142857143,t,488
19,19,Logistic Regression,0.5527777777777778,0.5499999999999999,0.48623589876888557,0.49757449757449757,0.5060371727038393,0.24074074074074073,t,488
20,20,Logistic Regression,0.6041666666666666,0.5625,0.48408064757350394,0.4885290148448044,0.6327117327117326,0.44642857142857145,t,488
21,21,Logistic Regression,1.0,1.0,0.5243641348355587,0.5567567567567568,0.783862433862434,0.5925925925925926,t,488
22,22,Logistic Regression,0.8083333333333333,0.7,0.5617847009331876,0.5003465003465003,0.6426053113553114,0.6071428571428571,t,488
23,23,Logistic Regression,0.9266666666666665,0.9,0.5803915867947306,0.5126050420168068,0.5138888888888888,0.8055555555555555,t,488
24,24,Logistic Regression,0.625,0.5499999999999999,0.4932230776151596,0.5045045045045046,0.8132154882154883,0.6666666666666666,t,488
25,25,Logistic Regression,0.9428571428571428,0.9,0.582832185308215,0.48780487804878053,0.4270833333333333,0.6363636363636364,t,488
26,26,Logistic Regression,0.8125,0.75,0.5000220441892921,0.5048476454293629,0.687797619047619,0.6607142857142858,t,488
27,27,Logistic Regression,0.5783333333333334,0.5,0.5526821855983698,0.5422437673130194,0.5405071119356833,0.5535714285714285,t,488
28,28,Logistic Regression,0.8611111111111112,0.75,0.5427259457794685,0.5249307479224377,0.46049332611832605,0.2857142857142857,t,488
29,29,Logistic Regression,1.0,1.0,0.5932038393139484,0.5445945945945946,0.538034188034188,0.6296296296296297,t,488
30,30,Logistic Regression,0.8875,0.9,0.4905958134294178,0.5287595287595287,0.63998778998779,0.462962962962963,t,488
31,31,Logistic Regression,0.6791666666666667,0.8,0.5215548906914836,0.5347222222222223,0.8532539682539683,0.72,t,488
32,32,Logistic Regression,0.95,0.9500000000000001,0.581772873338021,0.5848925848925849,0.7800705467372135,0.7222222222222221,t,488
33,33,Logistic Regression,0.95,0.9375,0.5239290644889514,0.5472334682860999,0.7685897435897435,0.75,t,488
34,34,Logistic Regression,0.6861904761904761,0.7,0.48290607537052394,0.49722991689750695,0.4937031222745508,0.5178571428571428,t,488
35,35,Logistic Regression,0.95,0.9375,0.56699821558696,0.592140921409214,0.6131845931845932,0.38,t,488
36,36,Logistic Regression,0.95,0.9500000000000001,0.6033831728877809,0.5470914127423823,0.5234390609390609,0.375,t,488
37,37,Logistic Regression,0.6083333333333333,0.625,0.5106880928377392,0.4757085020242915,0.6407925407925408,0.44642857142857145,t,488
38,38,Logistic Regression,0.7470238095238095,0.6875,0.5537201895576014,0.5203252032520325,0.4326406926406926,0.33999999999999997,t,488
39,39,Logistic Regression,0.6458333333333333,0.6875,0.5165824451508353,0.5047425474254743,0.5108225108225108,0.52,t,488
40,40,Logistic Regression,0.7678571428571428,0.625,0.5114258587169558,0.5283400809716599,0.4813492063492063,0.3928571428571429,t,488
41,41,Logistic Regression,0.7678571428571428,0.625,0.4744694877132774,0.5176151761517614,0.796200466200466,0.5599999999999999,t,488
42,42,Logistic Regression,1.0,1.0,0.4938999627535502,0.5625850340136055,0.8872100122100124,0.7045454545454546,t,488
43,43,Logistic Regression,0.8541666666666666,0.8125,0.6143687953192889,0.5851351351351352,0.70652557319224,0.6666666666666667,t,488
44,44,Logistic Regression,0.6178571428571429,0.55,0.5232569957956558,0.49375,0.515079365079365,0.42592592592592593,t,488
45,45,Logistic Regression,0.8541666666666666,0.8125,0.5059296290028673,0.5330634278002699,0.3776378383521241,0.26785714285714285,t,488
46,46,Logistic Regression,0.8303571428571428,0.8,0.5932477489363918,0.5900277008310248,0.5222756410256411,0.35714285714285715,t,488
47,47,Logistic Regression,0.7333333333333333,0.6875,0.5564242462732556,0.5264227642276423,0.31153846153846154,0.36,t,488
48,48,Logistic Regression,0.8041666666666667,0.8125,0.5590708532838846,0.5635135135135135,0.5007295173961841,0.24074074074074073,t,488
49,49,Logistic Regression,0.9666666666666666,0.95,0.6220946214290489,0.581184668989547,0.21488095238095234,0.22727272727272727,t,488
50,50,Logistic Regression,1.0,1.0,0.48880022548904445,0.5294525294525294,0.7596671846671847,0.6296296296296297,t,488
51,51,Logistic Regression,0.71,0.75,0.6093640501267066,0.5897435897435896,0.6569444444444444,0.7962962962962963,t,488
52,52,Logistic Regression,0.9111111111111112,0.8,0.6558760876803122,0.5862785862785863,0.3302503052503053,0.2222222222222222,t,488
53,53,Logistic Regression,0.95,0.9375,0.4576307071538628,0.5102599179206566,0.8429935804935805,0.5277777777777778,t,488
54,54,Logistic Regression,0.8261904761904761,0.75,0.5410644852117711,0.5194444444444445,0.42358974358974355,0.5399999999999999,t,488
55,55,Logistic Regression,0.5666666666666667,0.5,0.5054314752133203,0.5033738191632929,0.5078869047619048,0.42857142857142855,t,488
56,56,Logistic Regression,0.6111111111111112,0.5,0.5013301371207725,0.5003465003465003,0.567979242979243,0.4444444444444445,t,488
57,57,Logistic Regression,0.8041666666666667,0.8125,0.683225804694959,0.6027027027027027,0.6331649831649832,0.5740740740740742,t,488
58,58,Logistic Regression,0.6041666666666666,0.5625,0.5189785585701849,0.504054054054054,0.4433455433455433,0.3888888888888889,t,488
