,bootstrap,feature,importance,model,distribution,seed
0,0,biomarker,39.28285957809592,Logistic Regression,t,127
1,0,Intercept,-18.58741032601972,Logistic Regression,t,127
0,1,biomarker,40.85517038117712,Logistic Regression,t,127
1,1,Intercept,-18.41127838732177,Logistic Regression,t,127
0,2,biomarker,34.737028547749844,Logistic Regression,t,127
1,2,Intercept,-16.48620310382516,Logistic Regression,t,127
0,3,biomarker,41.183084165007166,Logistic Regression,t,127
1,3,Intercept,-18.561871063820796,Logistic Regression,t,127
0,4,biomarker,39.57437736390739,Logistic Regression,t,127
1,4,Intercept,-18.71681143861279,Logistic Regression,t,127
0,5,biomarker,40.968397823233516,Logistic Regression,t,127
1,5,Intercept,-18.50139642579976,Logistic Regression,t,127
0,6,biomarker,38.00515512408944,Logistic Regression,t,127
1,6,Intercept,-17.287994008224384,Logistic Regression,t,127
0,7,biomarker,41.37174656835035,Logistic Regression,t,127
1,7,Intercept,-18.62643830277906,Logistic Regression,t,127
0,8,biomarker,37.873183730546145,Logistic Regression,t,127
1,8,Intercept,-16.311155568118792,Logistic Regression,t,127
0,9,biomarker,41.01676033194524,Logistic Regression,t,127
1,9,Intercept,-18.50584613690902,Logistic Regression,t,127
0,10,biomarker,41.37548830392998,Logistic Regression,t,127
1,10,Intercept,-18.61603089872369,Logistic Regression,t,127
0,11,biomarker,38.658646342351766,Logistic Regression,t,127
1,11,Intercept,-18.291945186915513,Logistic Regression,t,127
0,12,biomarker,40.61445263289147,Logistic Regression,t,127
1,12,Intercept,-18.385403906576812,Logistic Regression,t,127
0,13,biomarker,39.84858980418491,Logistic Regression,t,127
1,13,Intercept,-17.98999209395453,Logistic Regression,t,127
0,14,biomarker,41.455427847050416,Logistic Regression,t,127
1,14,Intercept,-18.709499971654584,Logistic Regression,t,127
0,15,biomarker,40.8563127726373,Logistic Regression,t,127
1,15,Intercept,-18.452441947614616,Logistic Regression,t,127
0,16,biomarker,41.187033725284664,Logistic Regression,t,127
1,16,Intercept,-18.479926254993106,Logistic Regression,t,127
0,17,biomarker,41.07852601973905,Logistic Regression,t,127
1,17,Intercept,-18.49781613723806,Logistic Regression,t,127
0,18,biomarker,38.514393846233375,Logistic Regression,t,127
1,18,Intercept,-17.908667810237485,Logistic Regression,t,127
0,19,biomarker,39.73221504142699,Logistic Regression,t,127
1,19,Intercept,-18.812896149463047,Logistic Regression,t,127
0,20,biomarker,38.471284012315735,Logistic Regression,t,127
1,20,Intercept,-17.892320345930738,Logistic Regression,t,127
0,21,biomarker,39.30115194867584,Logistic Regression,t,127
1,21,Intercept,-17.769851039236887,Logistic Regression,t,127
0,22,biomarker,38.40080406866655,Logistic Regression,t,127
1,22,Intercept,-16.90701370752583,Logistic Regression,t,127
0,23,biomarker,41.01172342308289,Logistic Regression,t,127
1,23,Intercept,-18.496418476975887,Logistic Regression,t,127
0,24,biomarker,40.672034147576746,Logistic Regression,t,127
1,24,Intercept,-18.454880347248345,Logistic Regression,t,127
0,25,biomarker,39.184210276223354,Logistic Regression,t,127
1,25,Intercept,-18.30061189104815,Logistic Regression,t,127
0,26,biomarker,40.31594651303205,Logistic Regression,t,127
1,26,Intercept,-18.27157754756519,Logistic Regression,t,127
0,27,biomarker,41.46265274628006,Logistic Regression,t,127
1,27,Intercept,-18.703660170618182,Logistic Regression,t,127
0,28,biomarker,38.71802575505233,Logistic Regression,t,127
1,28,Intercept,-18.02781901282299,Logistic Regression,t,127
0,29,biomarker,41.61114741536647,Logistic Regression,t,127
1,29,Intercept,-18.759679928184884,Logistic Regression,t,127
0,30,biomarker,38.413301332961424,Logistic Regression,t,127
1,30,Intercept,-17.887625905676064,Logistic Regression,t,127
0,31,biomarker,38.50512841939629,Logistic Regression,t,127
1,31,Intercept,-17.95834396734859,Logistic Regression,t,127
0,32,biomarker,40.91295561691727,Logistic Regression,t,127
1,32,Intercept,-18.4552805695363,Logistic Regression,t,127
0,33,biomarker,40.86161176869415,Logistic Regression,t,127
1,33,Intercept,-18.36366866811626,Logistic Regression,t,127
0,34,biomarker,39.46301454484062,Logistic Regression,t,127
1,34,Intercept,-18.814892683002974,Logistic Regression,t,127
0,35,biomarker,40.49930853999169,Logistic Regression,t,127
1,35,Intercept,-18.374396220261847,Logistic Regression,t,127
0,36,biomarker,41.18893765972464,Logistic Regression,t,127
1,36,Intercept,-18.573834331665726,Logistic Regression,t,127
0,37,biomarker,41.863227204425314,Logistic Regression,t,127
1,37,Intercept,-18.889092530298406,Logistic Regression,t,127
0,38,biomarker,39.60239935985344,Logistic Regression,t,127
1,38,Intercept,-18.768154823197754,Logistic Regression,t,127
0,39,biomarker,41.616876945379325,Logistic Regression,t,127
1,39,Intercept,-18.769501801672,Logistic Regression,t,127
0,40,biomarker,41.228458889155206,Logistic Regression,t,127
1,40,Intercept,-18.512485646457005,Logistic Regression,t,127
0,41,biomarker,38.68255671931349,Logistic Regression,t,127
