,bootstrap,model,test_average_precision,test_roc_auc,train_average_precision,train_roc_auc,validation_average_precision,validation_roc_auc,distribution,seed
0,0,Logistic Regression,1.0,1.0,0.9931244343198773,0.992361111111111,1.0,1.0,t,190
1,1,Logistic Regression,1.0,1.0,0.9927599759756371,0.9916376306620208,1.0,1.0,t,190
2,2,Logistic Regression,1.0,1.0,0.9928751349222966,0.99375,1.0,1.0,t,190
3,3,Logistic Regression,1.0,1.0,0.9923891402022302,0.9916666666666666,1.0,1.0,t,190
4,4,Logistic Regression,1.0,1.0,0.9915042127180411,0.9923611111111111,1.0,1.0,t,190
5,5,Logistic Regression,1.0,1.0,0.9937711922699669,0.9944444444444445,1.0,1.0,t,190
6,6,Logistic Regression,1.0,1.0,0.9905782867921151,0.9916666666666667,1.0,1.0,t,190
7,7,Logistic Regression,1.0,1.0,0.993261053286888,0.9937629937629938,1.0,1.0,t,190
8,8,Logistic Regression,1.0,1.0,0.9915042127180411,0.9923611111111111,1.0,1.0,t,190
9,9,Logistic Regression,1.0,1.0,0.9944459561026255,0.9951388888888888,1.0,1.0,t,190
10,10,Logistic Regression,1.0,1.0,0.9925690383701219,0.9930699930699931,1.0,1.0,t,190
11,11,Logistic Regression,1.0,1.0,0.992378653291966,0.9923822714681441,0.9999999999999998,1.0,t,190
12,12,Logistic Regression,1.0,1.0,0.9941186187956994,0.9951219512195122,0.9924242424242424,0.9772727272727273,t,190
13,13,Logistic Regression,1.0,1.0,0.9912193124331409,0.9923611111111111,1.0,1.0,t,190
14,14,Logistic Regression,1.0,1.0,0.9945249922820076,0.9944559944559944,0.9999999999999998,1.0,t,190
15,15,Logistic Regression,1.0,1.0,0.9957975783460548,0.9958448753462604,0.9999999999999998,1.0,t,190
16,16,Logistic Regression,1.0,1.0,0.9921370049638285,0.9923822714681441,1.0,1.0,t,190
17,17,Logistic Regression,1.0,1.0,0.9910874426910441,0.9916839916839917,1.0,1.0,t,190
18,18,Logistic Regression,1.0,1.0,0.9985380116959065,0.9986111111111111,1.0,1.0,t,190
19,19,Logistic Regression,1.0,1.0,1.0,1.0,0.9765432098765432,0.962962962962963,t,190
20,20,Logistic Regression,1.0,1.0,0.9986842105263158,0.9986149584487535,0.9861111111111112,0.9821428571428572,t,190
21,21,Logistic Regression,1.0,1.0,0.9972425127830533,0.9972279972279973,0.9888888888888889,0.9814814814814815,t,190
22,22,Logistic Regression,1.0,1.0,0.9979916897506925,0.9979224376731303,0.9821428571428572,0.9821428571428571,t,190
23,23,Logistic Regression,1.0,1.0,0.9937479915050068,0.9937629937629937,1.0,1.0,t,190
24,24,Logistic Regression,1.0,1.0,0.991741400274682,0.9916839916839917,0.9999999999999998,1.0,t,190
25,25,Logistic Regression,1.0,1.0,0.995515483311536,0.9951388888888889,1.0,1.0,t,190
26,26,Logistic Regression,1.0,1.0,0.9945768427605719,0.9951489951489951,1.0,1.0,t,190
27,27,Logistic Regression,1.0,1.0,0.9980917560654897,0.997920997920998,0.976190476190476,0.9814814814814814,t,190
28,28,Logistic Regression,1.0,1.0,0.9923892137053709,0.9930699930699931,1.0,1.0,t,190
29,29,Logistic Regression,1.0,1.0,0.9970353507337857,0.9972279972279972,1.0,1.0,t,190
30,30,Logistic Regression,1.0,1.0,0.9951347483795685,0.9951489951489952,0.9821428571428572,0.9821428571428571,t,190
31,31,Logistic Regression,1.0,1.0,0.9939020789279132,0.9944559944559944,1.0,1.0,t,190
32,32,Logistic Regression,1.0,1.0,0.9972425127830533,0.9972279972279973,0.9888888888888889,0.9814814814814815,t,190
33,33,Logistic Regression,1.0,1.0,0.994409161698494,0.9929971988795518,1.0,1.0,t,190
34,34,Logistic Regression,1.0,1.0,0.9923892137053709,0.9930699930699931,1.0,1.0,t,190
35,35,Logistic Regression,1.0,1.0,0.9896204323859848,0.9909722222222223,1.0,1.0,t,190
36,36,Logistic Regression,1.0,1.0,0.9942261363721361,0.9944598337950139,0.9999999999999998,1.0,t,190
37,37,Logistic Regression,1.0,1.0,0.993616380274575,0.9937673130193906,0.9999999999999998,1.0,t,190
38,38,Logistic Regression,1.0,1.0,0.9948671620131615,0.9951523545706371,0.9999999999999998,1.0,t,190
39,39,Logistic Regression,1.0,1.0,0.9981845238095238,0.9979166666666667,0.8766666666666667,0.9400000000000001,t,190
40,40,Logistic Regression,1.0,1.0,0.9924002700657113,0.9930555555555556,1.0,1.0,t,190
41,41,Logistic Regression,1.0,1.0,0.9950235845380052,0.9951523545706372,1.0,1.0,t,190
42,42,Logistic Regression,1.0,1.0,0.9921452383590668,0.9930555555555556,1.0,1.0,t,190
43,43,Logistic Regression,1.0,1.0,0.9972425127830533,0.9972279972279973,0.9861111111111112,0.9821428571428572,t,190
44,44,Logistic Regression,1.0,1.0,0.9910874426910441,0.9916839916839917,1.0,1.0,t,190
45,45,Logistic Regression,1.0,1.0,0.9957975783460548,0.9958448753462604,0.9999999999999998,1.0,t,190
46,46,Logistic Regression,1.0,1.0,0.9915562848709133,0.9916897506925207,1.0,1.0,t,190
47,47,Logistic Regression,1.0,1.0,0.9946984200020638,0.9944559944559944,0.9999999999999998,1.0,t,190
48,48,Logistic Regression,1.0,1.0,1.0,1.0,0.9266666666666665,0.96,t,190
49,49,Logistic Regression,1.0,1.0,0.9924002700657113,0.9930555555555556,1.0,1.0,t,190
50,50,Logistic Regression,1.0,1.0,0.991697198788605,0.9923769923769924,1.0,1.0,t,190
