,bootstrap,model,test_average_precision,test_roc_auc,train_average_precision,train_roc_auc,validation_average_precision,validation_roc_auc,distribution,seed
0,0,Logistic Regression,1.0,1.0,0.9225990906376136,0.9118055555555555,0.7961904761904761,0.8800000000000001,t,326
1,1,Logistic Regression,1.0,1.0,0.9285113917988352,0.9207317073170731,0.775,0.8636363636363636,t,326
2,2,Logistic Regression,1.0,1.0,0.8940519726694569,0.9034722222222222,0.9697979797979798,0.9400000000000001,t,326
3,3,Logistic Regression,1.0,1.0,0.9192391280256564,0.9118055555555556,0.8690476190476191,0.8518518518518519,t,326
4,4,Logistic Regression,1.0,1.0,0.9020740249863861,0.9076388888888889,0.9572979797979797,0.92,t,326
5,5,Logistic Regression,1.0,1.0,0.8972502258998805,0.9090277777777778,0.9540404040404039,0.9,t,326
6,6,Logistic Regression,1.0,1.0,0.915895337924511,0.9215277777777777,0.9235317460317459,0.8400000000000001,t,326
7,7,Logistic Regression,1.0,1.0,0.8989980944451592,0.9036729036729036,0.959375,0.9464285714285714,t,326
8,8,Logistic Regression,1.0,1.0,0.9071424438033909,0.9126016260162602,0.9833333333333333,0.96,t,326
9,9,Logistic Regression,1.0,1.0,0.9044274052045956,0.9069444444444444,0.9063455988455987,0.8600000000000001,t,326
10,10,Logistic Regression,1.0,1.0,0.8967551954232962,0.9002079002079002,0.9626543209876544,0.9444444444444444,t,326
11,11,Logistic Regression,1.0,1.0,0.8920830953093114,0.8843490304709142,0.9999999999999998,1.0,t,326
12,12,Logistic Regression,1.0,1.0,0.8901339773039216,0.9031358885017422,0.9516705516705517,0.8636363636363636,t,326
13,13,Logistic Regression,1.0,1.0,0.8902705850860978,0.9006756756756757,0.9888888888888889,0.9814814814814815,t,326
14,14,Logistic Regression,1.0,1.0,0.9087977997203808,0.9002079002079002,0.9617346938775511,0.9642857142857143,t,326
15,15,Logistic Regression,1.0,1.0,0.9061472428336772,0.907202216066482,0.9617346938775511,0.9642857142857143,t,326
